地点,コンクリート_cm,土_cm,等価コンクリート_cm,PHITS_He3_Deposit,PHITS_He3_DepositPeak,PHITS_Deposit_相対_地上1,PHITS_He3_フラックス,PHITS_He3Flux_相対_地上1,理論_A0exp_相対,測定_相対_地上1,測定_CPS,備考
地上,0.0,0.0,0.0,0.0548264,0.047131,1,2.98137,1,1.000000,1.000000,0.52514597,
PF,105.0,0.0,105.0,0.00068465,0.00054772,0.0124876,0.0604057,0.0202611,0.068565,0.478126,0.25108616,
linac,150.0,0.0,150.0,0.00054772,0.00041079,0.00999007,0.0233352,0.00782702,0.021742,0.123374,0.06478913,
BT,60.0,220.0,188.2,0,0,0,0.00267975,0.000898831,0.008205,0.218523,0.11475671,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
KEKB,80.0,670.0,521.7,0,0,0,0,0,0.000002,0.076041,0.03993240,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
