id,場所,シリアル,live_s,wall_lo,wall_hi,wall_peak,wall_e_lo_kev,wall_e_hi_kev,wall_kev_per_ch,wall_counts,wall_cps,wall_bg_counts,wall_bg_cps,wall_net_counts,wall_net_cps,wall_net_cps_err,wall_net_valid,wall_warning,wall_bg_mode,wall_sb_hi
D1_20260822_1653__kanri_corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750,1715,32.866,84,366,339,191.0,764.0,2.253687315634218,135224.0,4114.403943284854,3470.165517241379,105.58527101689828,131753.83448275863,4008.8186722679557,11.331365417147836,1,,sideband_right,367–511
d1_20260822_1702__kanri_80cm,d1_20260822_1702_熱中性子管理棟-80cm,2162,62.913,95,408,383,191.0,764.0,1.9947780678851175,53473.0,849.9515203535041,1438.9126213592233,22.8714672859222,52034.087378640776,827.0800530675818,3.7247136492116755,1,,sideband_right,409–511
d1_20260822_1705__kanri_30cm,d1_20260822_1705_熱中性子管理棟-30cm,2162,67.47,95,408,382,191.0,764.0,2.0,116259.0,1723.121387283237,6395.844660194175,94.79538550754668,109863.15533980583,1628.3260017756904,5.1907682940293185,1,,sideband_right,409–511
D2_20260822_1720__kanri,D2_20260822_1720_熱中性子管理棟,1715,150.861,96,402,386,191.0,764.0,1.9792746113989637,60855.0,403.3845725535427,17959.5,119.04667210213375,42895.5,284.3379004514089,1.8609130445906088,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,403–511
d2_20260822_1729__kanri,d2_20260822_1729_熱中性子管理棟,2162,194.301,95,408,382,191.0,764.0,2.0,20169.0,103.80286256890084,91.45631067961165,0.47069397831000176,20077.543689320388,103.33216859059083,0.7325707520640877,1,,sideband_right,409–511
d2_20260823_0834_Linac3,d2_20260823_0834_Linac3,2162,51378.814,96,408,387,191.0,764.0,1.9741602067183464,662.0,0.012884688229666026,3.03883495145631,5.9145681164542066e-05,658.9611650485436,0.012825542548501483,0.0005019256941757039,1,,sideband_right,409–511
D2_20260823_0835_Linac3,D2_20260823_0835_Linac3,1715,51266.676,95,398,382,191.0,764.0,2.0,5272.0,0.1028348317335807,912.0,0.017789333562410015,4360.0,0.08504549817117069,0.0015339089471170318,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,399–511
d1_20260823_1509_Linac3,d1_20260823_1509_Linac3,2162,23286.251,98,409,393,191.0,764.0,1.9440203562340967,549.0,0.02357614370814778,0.0,0.0,549.0,0.02357614370814778,0.0010062052937469393,1,,sideband_right,410–511
D1_20260823_1510_Linac3,D1_20260823_1510_Linac3,1715,23222.698,95,399,383,191.0,764.0,1.9947780678851175,3257.0,0.14025071505472791,610.0,0.02626740441614493,2647.0,0.113983310638583,0.0026777770284988852,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,400–511
D1_20260823_1510_PS,D1_20260823_1510_PS,1715,78562.293,96,401,385,191.0,764.0,1.9844155844155844,6463.0,0.082265928770689,2142.0,0.027264988306794965,4321.0,0.055000940463894046,0.0011807590599609214,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,402–511
d1_20260823_1509_PS,d1_20260823_1509_PS,2162,76892.76,98,409,393,191.0,764.0,1.9440203562340967,1264.0,0.016438478733238344,0.0,0.0,1264.0,0.016438478733238344,0.0004623683383099053,1,,sideband_right,410–511
d1_20260823_1509_linac_testhole_error,d1_20260823_1509_linac_testhole_error,2162,27.403,109,455,439,191.0,764.0,1.7403189066059226,148.0,5.40086851804547,0.0,0.0,148.0,5.40086851804547,0.44394865746803047,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,456–511
d1_20260823_1509_linac_testhole,d1_20260823_1509_linac_testhole,2162,18972.587,97,408,389,191.0,764.0,1.9640102827763497,2151.0,0.11337410127569846,0.0,0.0,2151.0,0.11337410127569846,0.0024445203229913203,1,,sideband_right,409–511
d1_20260825_1439_linac_testhole,d1_20260825_1439_linac_testhole,2162,18972.587,97,408,389,191.0,764.0,1.9640102827763497,4410.0,0.23244062604641108,0.0,0.0,4410.0,0.23244062604641108,0.003500199043152943,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,409–511
D1_20260823_1510_linac_testhole,D1_20260823_1510_linac_testhole,1715,20238.835,96,403,387,191.0,764.0,1.9741602067183464,6387.0,0.31558140574790994,2532.4444444444443,0.12512797522408994,3854.5555555555557,0.19045343052381997,0.004666415356584569,1,,sideband_right,404–511
D1_20260823_1510_linac_testhole_error,D1_20260823_1510_linac_testhole_error,1715,20179.846,96,403,387,191.0,764.0,1.9741602067183464,6376.0,0.3159588036499386,2526.740740740741,0.12521110125125537,3849.259259259259,0.19074770239868327,0.004675671761781813,1,,sideband_right,404–511
D2_20260824_1440_linac_testhole,D2_20260824_1440_linac_testhole,1715,20238.835,96,403,387,191.0,764.0,1.9741602067183464,6387.0,0.31558140574790994,2532.4444444444443,0.12512797522408994,3854.5555555555557,0.19045343052381997,0.004666415356584569,1,,sideband_right,404–511
