地点,d1_NET,d1_相対,d1_相対D1地上,d1_絶対phi,D1_NET,D1_相対,D1_相対D1地上,D1_絶対phi,d2_NET,d2_相対,d2_相対D1地上,d2_絶対phi,D2_NET,D2_相対,D2_相対D1地上,D2_絶対phi,注
地上,,,,,0.541218,1,1,0.00131715,0.109626,1,0.6102,0.000803707,0.286488,1,0.7094,0.000934405,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
管理棟2階,0.203589,1,1.376,0.00181291,0.649742,1.201,1.201,0.00158127,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
管理棟1階,,,,,0.477254,0.8818,0.8818,0.00116149,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
testhole,0.113374,0.5569,0.7665,0.00100956,0.190453,0.3519,0.3519,0.000463503,,,,,0.190453,0.6648,0.4716,0.000621179,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
PF,,,,,0.23504,0.4343,0.4343,0.000572013,,,,,0.145057,0.5063,0.3592,0.000473116,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
linac,0.0235761,0.1158,0.1594,0.000209939,0.113983,0.2106,0.2106,0.000277399,0.0128255,0.117,0.07139,9.40289e-05,0.0850455,0.2969,0.2106,0.000277383,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
PS,0.0164385,0.08074,0.1111,0.00014638,0.0550009,0.1016,0.1016,0.000133855,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
放射線棟BT,,,,,0.117176,0.2165,0.2165,0.000285169,0.0185525,0.1692,0.1033,0.000136016,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
KEKB,,,,,0.0505288,0.09336,0.09336,0.000122971,0.00922181,0.08412,0.05133,6.76086e-05,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
