地点,CPS,CPS_統計誤差,相対_地上1,相対_統計誤差,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_系統誤差_cm,系統_厚さ寄与_cm,系統_密度寄与_cm,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.43304066,0.01055567,1.000000,0.034472,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,1.000000,0.433041,"基準（屋外）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
testhole,0.12442580,0.00304334,0.287331,0.009922,0.0,57.0,0.0,131.10,57.0,5.58,5.00,2.48,0.233437,0.101088,"linac テストホール（等価コンクリート 57 cm）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
PF,0.20065853,0.00236464,0.463371,0.012546,0.0,105.0,0.0,241.50,105.0,6.96,5.25,4.57,0.068565,0.029691,"X=241.50; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
linac,0.06869596,0.00455079,0.158636,0.011198,0.0,150.0,0.0,345.00,150.0,9.94,7.50,6.52,0.021742,0.009415,"X=345.00; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
Linac3,0.05866961,0.00176894,0.135483,0.005253,0.0,300.0,0.0,690.00,300.0,19.88,15.00,13.04,0.000473,0.000205,"ATF 加速管区間（コンクリート 300 cm のみ）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
BT,0.07758876,0.00336558,0.179172,0.008915,220.0,60.0,0.0,435.00,189.1,23.95,13.85,19.54,0.008008,0.003468,"土はロームのみ（220 cm < 3.5 m）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
PS,0.02540786,0.00069508,0.058673,0.002150,0.0,480.0,0.0,1104.00,480.0,31.80,24.00,20.87,0.000005,0.000002,"PS FEL 測定点（等価コンクリート 4.8 m）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
KEKB,0.03328422,0.00107478,0.076862,0.003110,670.0,80.0,0.0,1208.50,525.4,80.53,44.82,66.91,0.000001,0.000001,"ローム3.5 m + 常総2.0 m + 下総1.2 m + コンクリ80 cm（Book5の117.25は桁誤り）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
