id,場所,シリアル,live_s,roi_lo,roi_hi,roi_peak,roi_auto_lo,roi_auto_hi,roi_counts,roi_cps,roi_bg_counts,roi_bg_cps,roi_net_counts,roi_net_cps,roi_net_cps_err,roi_net_valid,roi_warning,bg_mode,sb_lo,sb_hi
D1_20260822_1653__kanri_gain750_corse_gain_200_100,D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更,1715,59.851,314,366,306,84,142,184.0,3.074301181266813,451.8057971014492,7.54884291158793,-267.8057971014492,-4.474541730321117,0.4212993903017736,0,NET<=0（ROI または背景定義を確認）; peak=306 が積分窓端に近い（側帯定義を確認）,sideband,275–289,367–381
D1_20260822_1653__kanri_corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750,1715,32.866,314,366,339,137,212,2970.0,90.36694456277003,2657.0666666666666,80.84545325462992,312.9333333333334,9.521491308140126,2.2824127217335786,1,,sideband,299–313,367–381
d1_20260822_1702__kanri_80cm,d1_20260822_1702_熱中性子管理棟-80cm,2162,62.913,350,408,383,344,404,36380.0,578.2588654173223,4078.866666666667,64.8334472472568,32301.13333333333,513.4254181700655,3.1971753918078845,1,,sideband,335–349,409–423
d1_20260822_1705__kanri_30cm,d1_20260822_1705_熱中性子管理棟-30cm,2162,67.47,350,408,382,343,405,78482.0,1163.2132799762858,9640.599999999997,142.88720912998366,68841.40000000001,1020.3260708463022,4.399800056605961,1,,sideband,335–349,409–423
D2_20260822_1720__kanri,D2_20260822_1720_熱中性子管理棟,1715,150.861,360,412,386,351,412,45026.0,298.46017194636124,7895.233333333333,52.33448892247389,37130.76666666667,246.12568302388738,1.5248881738108586,1,peak=386 のため共通窓幅53chを 360-412 に中心移動,sideband,345–359,413–427
d2_20260822_1729__kanri,d2_20260822_1729_熱中性子管理棟,2162,194.301,350,408,382,339,404,13968.0,71.88846171661494,1594.966666666667,8.208741420099058,12373.033333333333,63.67972029651589,0.6420534114387592,1,,sideband,335–349,409–423
d2_20260823_0834_Linac3,d2_20260823_0834_Linac3,2162,51378.814,350,408,387,352,410,445.0,0.00866115749577248,94.39999999999998,0.001837333185620049,350.6,0.006823824310152431,0.0004520343062934032,1,右側帯を使わず左側帯水平背景,sideband_left,335–349,335–349
D2_20260823_0835_Linac3,D2_20260823_0835_Linac3,1715,51266.676,356,408,382,80,108,2371.0,0.04624836609262516,275.59999999999997,0.005375811765131798,2095.4,0.040872554327493364,0.0010034806310887105,1,peak=382 のため共通窓幅53chを 356-408 に中心移動,sideband,341–355,409–423
d1_20260823_1509_Linac3,d1_20260823_1509_Linac3,2162,23286.251,350,408,393,348,412,379.0,0.01627569847975958,55.06666666666666,0.002364771670058296,323.93333333333334,0.013910926809701284,0.000894702485417723,1,右側帯を使わず左側帯水平背景; peak=393 が積分窓端に近い（側帯定義を確認）,sideband_left,335–349,335–349
D1_20260823_1510_Linac3,D1_20260823_1510_Linac3,1715,23222.698,357,409,383,80,109,1525.0,0.06566851104036232,162.5333333333333,0.0069988996684766476,1362.4666666666667,0.05866961137188567,0.001768941641978761,1,peak=383 のため共通窓幅53chを 357-409 に中心移動,sideband,342–356,410–424
D1_20260823_1510_PS,D1_20260823_1510_PS,1715,78562.293,359,411,385,80,110,2489.0,0.031681865497484904,492.8999999999999,0.006274002211213462,1996.1000000000001,0.025407863286271443,0.0006950761497796424,1,peak=385 のため共通窓幅53chを 359-411 に中心移動,sideband,344–358,412–426
d1_20260823_1509_PS,d1_20260823_1509_PS,2162,76892.76,350,408,393,348,411,1098.0,0.014279627886942804,271.4000000000001,0.003529591082437412,826.5999999999999,0.01075003680450539,0.00048125993930533555,1,右側帯を使わず左側帯水平背景; peak=393 が積分窓端に近い（側帯定義を確認）,sideband_left,335–349,335–349
d1_20260823_1509_linac_testhole_error,d1_20260823_1509_linac_testhole_error,2162,27.403,410,468,439,428,450,20.0,0.7298470970331716,27.53333333333333,1.0047561702489995,-7.533333333333331,-0.2749090732158279,0.25159443148946553,0,NET<=0（ROI または背景定義を確認）; peak=439 のため共通窓幅59chを 410-468 に中心移動,sideband,395–409,469–483
d1_20260823_1509_linac_testhole,d1_20260823_1509_linac_testhole,2162,18972.587,350,408,389,339,416,1561.0,0.08227660255293598,613.5999999999999,0.032341398671672975,947.4000000000001,0.04993520388126301,0.0024578939402473935,1,右側帯を使わず左側帯水平背景,sideband_left,335–349,335–349
D1_20260823_1510_linac_testhole,D1_20260823_1510_linac_testhole,1715,20238.835,361,413,387,80,111,3156.0,0.15593782942545853,637.7666666666665,0.03151202461340619,2518.2333333333336,0.12442580481205236,0.00304333526457686,1,peak=387 のため共通窓幅53chを 361-413 に中心移動,sideband,346–360,414–428
D1_20260823_1510_linac_testhole_error,D1_20260823_1510_linac_testhole_error,1715,20179.846,361,413,387,80,111,3147.0,0.1559476717513107,637.7666666666665,0.03160413943033393,2509.2333333333336,0.12434353232097675,0.003048608859659195,1,peak=387 のため共通窓幅53chを 361-413 に中心移動,sideband,346–360,414–428
