地点,CPS,CPS_統計誤差,相対_地上1,相対_統計誤差,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_系統誤差_cm,系統_厚さ寄与_cm,系統_密度寄与_cm,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.24373087,0.00523006,1.000000,0.030347,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,1.000000,0.243731,"基準（屋外）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
PF,0.11743475,0.00166709,0.481821,0.012397,0.0,105.0,0.0,241.50,105.0,6.96,5.25,4.57,0.068565,0.016711,"X=241.50; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
linac,0.04472707,0.00125024,0.183510,0.006467,0.0,150.0,0.0,345.00,150.0,9.94,7.50,6.52,0.021742,0.005299,"X=345.00; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
Linac3,0.04087255,0.00100348,0.167695,0.005468,0.0,300.0,0.0,690.00,300.0,19.88,15.00,13.04,0.000473,0.000115,"ATF 加速管区間（コンクリート 300 cm のみ）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
linacIRON,0.18743190,0.00284965,0.769012,0.020224,100.0,200.0,150.0,1675.00,728.3,34.95,26.19,23.15,0.000000,0.000000,"土100 cm + コンクリート200 cm + 鉄150 cm（ρ_Fe=7.2）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
