地点,CPS,相対_地上1,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_m,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.24373087,1.000000,0.0,0.0,0.0,0.00,0.0,0.0000,1.000000,0.243731,基準（屋外）
PF,0.11743475,0.481821,0.0,105.0,0.0,241.50,105.0,1.0500,0.068565,0.016711,X=241.50
linac,0.04472707,0.183510,0.0,150.0,0.0,345.00,150.0,1.5000,0.021742,0.005299,X=345.00
Linac3,0.04087255,0.167695,0.0,300.0,0.0,690.00,300.0,3.0000,0.000473,0.000115,ATF 加速管区間（コンクリート 300 cm のみ）
linacIRON,0.18743190,0.769012,100.0,200.0,150.0,1675.00,728.3,7.2826,0.000000,0.000000,土100 cm + コンクリート200 cm + 鉄150 cm（ρ_Fe=7.2）
