   2.7500E-02   2.8000E-02   4.5000E-03  0.3333
   2.8000E-02   2.8500E-02   2.0000E-03  0.5000
   2.8500E-02   2.9000E-02   2.0000E-03  0.5000
   2.9000E-02   2.9500E-02   2.0000E-03  0.5000
   2.9500E-02   3.0000E-02   4.0000E-03  0.3536
   3.0000E-02   3.0500E-02   5.0000E-03  0.3162
   3.0500E-02   3.1000E-02   5.0000E-03  0.3162
   3.1000E-02   3.1500E-02   5.5000E-03  0.3015
   3.1500E-02   3.2000E-02   4.0000E-03  0.3536
   3.2000E-02   3.2500E-02   3.0000E-03  0.4082
   3.2500E-02   3.3000E-02   5.0000E-03  0.3162
   3.3000E-02   3.3500E-02   2.5000E-03  0.4472
   3.3500E-02   3.4000E-02   6.0000E-03  0.2887
   3.4000E-02   3.4500E-02   4.0000E-03  0.3536
   3.4500E-02   3.5000E-02   2.0000E-03  0.5000
   3.5000E-02   3.5500E-02   3.0000E-03  0.4082
   3.5500E-02   3.6000E-02   6.0000E-03  0.2887
   3.6000E-02   3.6500E-02   5.5000E-03  0.3015
   3.6500E-02   3.7000E-02   4.0000E-03  0.3536
   3.7000E-02   3.7500E-02   3.5000E-03  0.3780
   3.7500E-02   3.8000E-02   3.0000E-03  0.4082
   3.8000E-02   3.8500E-02   4.0000E-03  0.3536
   3.8500E-02   3.9000E-02   3.5000E-03  0.3780
   3.9000E-02   3.9500E-02   2.5000E-03  0.4472
   3.9500E-02   4.0000E-02   5.0000E-03  0.3162
   4.0000E-02   4.0500E-02   3.5000E-03  0.3780
   4.0500E-02   4.1000E-02   1.5000E-03  0.5774
   4.1000E-02   4.1500E-02   3.5000E-03  0.3780
   4.1500E-02   4.2000E-02   3.0000E-03  0.4082
   4.2000E-02   4.2500E-02   4.0000E-03  0.3536
   4.2500E-02   4.3000E-02   3.0000E-03  0.4082
   4.3000E-02   4.3500E-02   4.5000E-03  0.3333
   4.3500E-02   4.4000E-02   2.5000E-03  0.4472
   4.4000E-02   4.4500E-02   5.5000E-03  0.3015
   4.4500E-02   4.5000E-02   4.0000E-03  0.3536
   4.5000E-02   4.5500E-02   3.5000E-03  0.3780
   4.5500E-02   4.6000E-02   2.5000E-03  0.4472
   4.6000E-02   4.6500E-02   2.0000E-03  0.5000
   4.6500E-02   4.7000E-02   4.5000E-03  0.3333
   4.7000E-02   4.7500E-02   5.5000E-03  0.3015
   4.7500E-02   4.8000E-02   1.5000E-03  0.5774
   4.8000E-02   4.8500E-02   2.5000E-03  0.4472
   4.8500E-02   4.9000E-02   3.0000E-03  0.4082
   4.9000E-02   4.9500E-02   2.5000E-03  0.4472
   4.9500E-02   5.0000E-02   2.5000E-03  0.4472

#   sum over                 3.6900E-01  0.0368

'no. =  1,  reg  =      1'
msuc: {\huge [t-deposit] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 2.00000000000000000E+03 # Total source weight or Total source weight / maxcas
# resc3  = 2.00000000000000000E+03 # Total history number or Total batch number
# maxcas =        2000 # History / Batch, only used for istdev=1
# bitrseed = 0101100011011011110001100101110111100110110100101110100101001100 # bit data of rseed
