place,pair,abs_log_ratio,L_over_s
PS,D1/d1,0.038847,0.914435
linac,D1/d1,0.169529,0.676817
linac,D2/d2,0.112443,0.771892
testhole,D1/d1,0.256788,0.553620
地上,D2/d2,0.065437,1.162619
管理棟2階,D1/d1,0.055337,0.880366
