[ T-Track ]
    title = He-3 有効ガス 内中性子フラックス
     mesh =  reg            # mesh type is region-wise
      reg = 1
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  0.3741701      # mesh width of e-mesh points
       ne =     80          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  1.45378E-09  2.11349E-09  3.07256E-09  4.46684E-09
#           6.49382E-09  9.44061E-09  1.37246E-08  1.99526E-08  2.90068E-08
#           4.21697E-08  6.13056E-08  8.91251E-08  1.29569E-07  1.88365E-07
#           2.73842E-07  3.98107E-07  5.78762E-07  8.41395E-07  1.22321E-06
#           1.77828E-06  2.58523E-06  3.75837E-06  5.46387E-06  7.94328E-06
#           1.15478E-05  1.67880E-05  2.44062E-05  3.54813E-05  5.15822E-05
#           7.49894E-05  1.09018E-04  1.58489E-04  2.30409E-04  3.34965E-04
#           4.86968E-04  7.07946E-04  1.02920E-03  1.49624E-03  2.17520E-03
#           3.16228E-03  4.59727E-03  6.68344E-03  9.71628E-03  1.41254E-02
#           2.05353E-02  2.98538E-02  4.34010E-02  6.30957E-02  9.17276E-02
#           1.33352E-01  1.93865E-01  2.81838E-01  4.09732E-01  5.95662E-01
#           8.65964E-01  1.25893E+00  1.83021E+00  2.66073E+00  3.86812E+00
#           5.62341E+00  8.17523E+00  1.18850E+01  1.72783E+01  2.51189E+01
#           3.65174E+01  5.30884E+01  7.71792E+01  1.12202E+02  1.63117E+02
#           2.37137E+02  3.44747E+02  5.01187E+02  7.28618E+02  1.05925E+03
#           1.53993E+03  2.23872E+03  3.25462E+03  4.73151E+03  6.87860E+03
#           1.00000E+04
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = neutron_he3.out  # file name of output for the above axis
     part =  neutron  
# kf/name :  2112     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          87 (  0)           0 (  0)          87 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l n  
#  e-lower      e-upper        neutron   r.err 
   1.0000E-09   1.4538E-09   4.9926E-08  1.0000
   1.4538E-09   2.1135E-09   1.1231E-06  0.8945
   2.1135E-09   3.0726E-09   2.0071E-06  0.7395
   3.0726E-09   4.4668E-09   3.9796E-06  0.4228
   4.4668E-09   6.4938E-09   1.8092E-05  0.3709
   6.4938E-09   9.4406E-09   3.0670E-05  0.2440
   9.4406E-09   1.3725E-08   9.8138E-05  0.1960
   1.3725E-08   1.9953E-08   2.0376E-04  0.1423
   1.9953E-08   2.9007E-08   4.0733E-04  0.1054
   2.9007E-08   4.2170E-08   5.6820E-04  0.0967
   4.2170E-08   6.1306E-08   1.0011E-03  0.0789
   6.1306E-08   8.9125E-08   1.1739E-03  0.0775
   8.9125E-08   1.2957E-07   8.5172E-04  0.0986
   1.2957E-07   1.8836E-07   4.3887E-04  0.1426
   1.8836E-07   2.7384E-07   2.5191E-04  0.1983
   2.7384E-07   3.9811E-07   3.4607E-04  0.2154
   3.9811E-07   5.7876E-07   3.9704E-04  0.2196
   5.7876E-07   8.4140E-07   4.2056E-04  0.2284
   8.4140E-07   1.2232E-06   5.1068E-04  0.2157
   1.2232E-06   1.7783E-06   3.7273E-04  0.2184
   1.7783E-06   2.5852E-06   7.3772E-04  0.2112
   2.5852E-06   3.7584E-06   9.4238E-04  0.2177
   3.7584E-06   5.4639E-06   8.7819E-04  0.1997
   5.4639E-06   7.9433E-06   1.1612E-03  0.1903
   7.9433E-06   1.1548E-05   1.8132E-03  0.1930
   1.1548E-05   1.6788E-05   1.2632E-03  0.2443
   1.6788E-05   2.4406E-05   1.3420E-03  0.2225
   2.4406E-05   3.5481E-05   3.1890E-03  0.1815
   3.5481E-05   5.1582E-05   3.0855E-03  0.1693
   5.1582E-05   7.4989E-05   3.6867E-03  0.1762
   7.4989E-05   1.0902E-04   3.4240E-03  0.1790
   1.0902E-04   1.5849E-04   5.8110E-03  0.1565
   1.5849E-04   2.3041E-04   4.7494E-03  0.1619
   2.3041E-04   3.3497E-04   5.8638E-03  0.1663
   3.3497E-04   4.8697E-04   5.4633E-03  0.2009
   4.8697E-04   7.0795E-04   6.0896E-03  0.1681
   7.0795E-04   1.0292E-03   7.1033E-03  0.1854
   1.0292E-03   1.4962E-03   8.3147E-03  0.2140
   1.4962E-03   2.1752E-03   5.1404E-03  0.1762
   2.1752E-03   3.1623E-03   7.3874E-03  0.2115
   3.1623E-03   4.5973E-03   6.8697E-03  0.1661
   4.5973E-03   6.6834E-03   8.3331E-03  0.2327
   6.6834E-03   9.7163E-03   9.1186E-03  0.2135
   9.7163E-03   1.4125E-02   1.2024E-02  0.2015
   1.4125E-02   2.0535E-02   1.0845E-02  0.2014
   2.0535E-02   2.9854E-02   1.6875E-02  0.1915
   2.9854E-02   4.3401E-02   1.2664E-02  0.1912
   4.3401E-02   6.3096E-02   1.9333E-02  0.1886
   6.3096E-02   9.1728E-02   1.4748E-02  0.1999
   9.1728E-02   1.3335E-01   2.8719E-02  0.1572
   1.3335E-01   1.9387E-01   2.6242E-02  0.1572
   1.9387E-01   2.8184E-01   4.4948E-02  0.1265
   2.8184E-01   4.0973E-01   5.7786E-02  0.1138
   4.0973E-01   5.9566E-01   6.2911E-02  0.1087
   5.9566E-01   8.6596E-01   7.6719E-02  0.1004
   8.6596E-01   1.2589E+00   9.8947E-02  0.0902
   1.2589E+00   1.8302E+00   8.1383E-02  0.0943
   1.8302E+00   2.6607E+00   1.1214E-01  0.0845
   2.6607E+00   3.8681E+00   1.2351E-01  0.0816
   3.8681E+00   5.6234E+00   9.2296E-02  0.0914
   5.6234E+00   8.1752E+00   7.4639E-02  0.1033
   8.1752E+00   1.1885E+01   9.2880E-02  0.0978
   1.1885E+01   1.7278E+01   7.4797E-02  0.1069
   1.7278E+01   2.5119E+01   9.2721E-02  0.0975
   2.5119E+01   3.6517E+01   8.9677E-02  0.0974
   3.6517E+01   5.3088E+01   1.3142E-01  0.0828
   5.3088E+01   7.7179E+01   2.0219E-01  0.0686
   7.7179E+01   1.1220E+02   2.1686E-01  0.0680
   1.1220E+02   1.6312E+02   2.5815E-01  0.0626
   1.6312E+02   2.3714E+02   2.2554E-01  0.0678
   2.3714E+02   3.4475E+02   1.4609E-01  0.0840
   3.4475E+02   5.0119E+02   8.6251E-02  0.1102
   5.0119E+02   7.2862E+02   5.0209E-02  0.1448
   7.2862E+02   1.0593E+03   1.4026E-02  0.2715
   1.0593E+03   1.5399E+03   1.4449E-02  0.2698
   1.5399E+03   2.2387E+03   1.4073E-02  0.2773
   2.2387E+03   3.2546E+03   5.4128E-03  0.4472
   3.2546E+03   4.7315E+03   1.0826E-03  1.0000
   4.7315E+03   6.8786E+03   4.3302E-03  0.5000
   6.8786E+03   1.0000E+04   1.0826E-03  1.0000

#   sum over                 2.7968E+00  0.0178

