detector,window,t_eq_cm,phi
D1,peak,731.61,2.075579e-04
D1,peak,733.57,2.073415e-04
D1,peak,735.53,2.071252e-04
D1,peak,737.50,2.069093e-04
D1,peak,739.46,2.066936e-04
D1,peak,741.42,2.064781e-04
D1,peak,743.38,2.062629e-04
D1,peak,745.34,2.060480e-04
D1,peak,747.30,2.058333e-04
D1,peak,749.26,2.056189e-04
D1,peak,751.23,2.054047e-04
D1,peak,753.19,2.051908e-04
D1,peak,755.15,2.049771e-04
D1,peak,757.11,2.047637e-04
D1,peak,759.07,2.045505e-04
D1,peak,761.03,2.043376e-04
D1,peak,762.99,2.041249e-04
D1,peak,764.96,2.039125e-04
D1,peak,766.92,2.037003e-04
D1,peak,768.88,2.034884e-04
D1,peak,770.84,2.032767e-04
D1,peak,772.80,2.030653e-04
D1,peak,774.76,2.028541e-04
D1,peak,776.72,2.026431e-04
D1,peak,778.69,2.024324e-04
D1,peak,780.65,2.022220e-04
D1,peak,782.61,2.020118e-04
D1,total,0.00,7.965640e-03
D1,total,1.96,7.594279e-03
D1,total,3.92,7.241148e-03
D1,total,5.88,6.905350e-03
D1,total,7.85,6.586030e-03
D1,total,9.81,6.282379e-03
D1,total,11.77,5.993625e-03
D1,total,13.73,5.719035e-03
D1,total,15.69,5.457913e-03
D1,total,17.65,5.209595e-03
D1,total,19.61,4.973452e-03
D1,total,21.58,4.748885e-03
D1,total,23.54,4.535324e-03
D1,total,25.50,4.332228e-03
D1,total,27.46,4.139082e-03
D1,total,29.42,3.955396e-03
D1,total,31.38,3.780705e-03
D1,total,33.34,3.614567e-03
D1,total,35.31,3.456561e-03
D1,total,37.27,3.306287e-03
D1,total,39.23,3.163364e-03
D1,total,41.19,3.027432e-03
D1,total,43.15,2.898147e-03
D1,total,45.11,2.775180e-03
D1,total,47.07,2.658223e-03
D1,total,49.04,2.546980e-03
D1,total,51.00,2.441168e-03
D1,total,52.96,2.340523e-03
D1,total,54.92,2.244788e-03
D1,total,56.88,2.153724e-03
D1,total,58.84,2.067101e-03
D1,total,60.80,1.984699e-03
D1,total,62.77,1.906313e-03
D1,total,64.73,1.831744e-03
D1,total,66.69,1.760805e-03
D1,total,68.65,1.693317e-03
D1,total,70.61,1.629112e-03
D1,total,72.57,1.568027e-03
D1,total,74.53,1.509910e-03
D1,total,76.50,1.454614e-03
D1,total,78.46,1.402001e-03
D1,total,80.42,1.351940e-03
D1,total,82.38,1.304305e-03
D1,total,84.34,1.258977e-03
D1,total,86.30,1.215843e-03
D1,total,88.26,1.174794e-03
D1,total,90.23,1.135730e-03
D1,total,92.19,1.098551e-03
D1,total,94.15,1.063167e-03
D1,total,96.11,1.029488e-03
D1,total,98.07,9.974310e-04
D1,total,100.03,9.669166e-04
D1,total,101.99,9.378691e-04
D1,total,103.96,9.102166e-04
D1,total,105.92,8.838905e-04
D1,total,107.88,8.588260e-04
D1,total,109.84,8.349612e-04
D1,total,111.80,8.122372e-04
D1,total,113.76,7.905983e-04
D1,total,115.72,7.699911e-04
D1,total,117.69,7.503654e-04
D1,total,119.65,7.316728e-04
D1,total,121.61,7.138678e-04
D1,total,123.57,6.969070e-04
D1,total,125.53,6.807490e-04
D1,total,127.49,6.653545e-04
D1,total,129.45,6.506862e-04
D1,total,131.42,6.367085e-04
D1,total,133.38,6.233878e-04
D1,total,135.34,6.106919e-04
D1,total,137.30,5.985903e-04
D1,total,139.26,5.870539e-04
D1,total,141.22,5.760551e-04
D1,total,143.18,5.655678e-04
D1,total,145.15,5.555668e-04
D1,total,147.11,5.460286e-04
D1,total,149.07,5.369304e-04
D1,total,151.03,5.282510e-04
D1,total,152.99,5.199698e-04
D1,total,154.95,5.120674e-04
D1,total,156.91,5.045255e-04
D1,total,158.88,4.973264e-04
D1,total,160.84,4.904534e-04
D1,total,162.80,4.838908e-04
D1,total,164.76,4.776233e-04
D1,total,166.72,4.716368e-04
D1,total,168.68,4.659174e-04
D1,total,170.64,4.604523e-04
D1,total,172.61,4.552291e-04
D1,total,174.57,4.502361e-04
D1,total,176.53,4.454620e-04
D1,total,178.49,4.408964e-04
D1,total,180.45,4.365290e-04
D1,total,182.41,4.323504e-04
D1,total,184.37,4.283513e-04
D1,total,186.34,4.245231e-04
D1,total,188.30,4.208575e-04
D1,total,190.26,4.173468e-04
D1,total,192.22,4.139833e-04
D1,total,194.18,4.107601e-04
D1,total,196.14,4.076703e-04
D1,total,198.10,4.047076e-04
D1,total,200.07,4.018658e-04
D1,total,202.03,3.991391e-04
D1,total,203.99,3.965220e-04
D1,total,205.95,3.940092e-04
D1,total,207.91,3.915957e-04
D1,total,209.87,3.892769e-04
D1,total,211.83,3.870480e-04
D1,total,213.80,3.849050e-04
D1,total,215.76,3.828435e-04
D1,total,217.72,3.808599e-04
D1,total,219.68,3.789502e-04
D1,total,221.64,3.771112e-04
D1,total,223.60,3.753393e-04
D1,total,225.56,3.736313e-04
D1,total,227.53,3.719844e-04
D1,total,229.49,3.703955e-04
D1,total,231.45,3.688620e-04
D1,total,233.41,3.673811e-04
D1,total,235.37,3.659505e-04
D1,total,237.33,3.645678e-04
D1,total,239.29,3.632307e-04
D1,total,241.26,3.619371e-04
D1,total,243.22,3.606849e-04
D1,total,245.18,3.594722e-04
D1,total,247.14,3.582972e-04
D1,total,249.10,3.571581e-04
D1,total,251.06,3.560533e-04
D1,total,253.02,3.549811e-04
D1,total,254.99,3.539400e-04
D1,total,256.95,3.529287e-04
D1,total,258.91,3.519457e-04
D1,total,260.87,3.509897e-04
D1,total,262.83,3.500595e-04
D1,total,264.79,3.491539e-04
D1,total,266.75,3.482718e-04
D1,total,268.72,3.474122e-04
D1,total,270.68,3.465739e-04
D1,total,272.64,3.457561e-04
D1,total,274.60,3.449578e-04
D1,total,276.56,3.441781e-04
D1,total,278.52,3.434162e-04
D1,total,280.48,3.426713e-04
D1,total,282.45,3.419427e-04
D1,total,284.41,3.412296e-04
D1,total,286.37,3.405313e-04
D1,total,288.33,3.398472e-04
D1,total,290.29,3.391766e-04
D1,total,292.25,3.385191e-04
D1,total,294.21,3.378739e-04
D1,total,296.18,3.372406e-04
D1,total,298.14,3.366186e-04
D1,total,300.10,3.360076e-04
D1,total,302.06,3.354069e-04
D1,total,304.02,3.348161e-04
D1,total,305.98,3.342349e-04
D1,total,307.94,3.336628e-04
D1,total,309.91,3.330995e-04
D1,total,311.87,3.325445e-04
D1,total,313.83,3.319976e-04
D1,total,315.79,3.314583e-04
D1,total,317.75,3.309265e-04
D1,total,319.71,3.304017e-04
D1,total,321.67,3.298838e-04
D1,total,323.64,3.293723e-04
D1,total,325.60,3.288671e-04
D1,total,327.56,3.283679e-04
D1,total,329.52,3.278745e-04
D1,total,331.48,3.273867e-04
D1,total,333.44,3.269041e-04
D1,total,335.40,3.264267e-04
D1,total,337.37,3.259542e-04
D1,total,339.33,3.254865e-04
D1,total,341.29,3.250233e-04
D1,total,343.25,3.245645e-04
D1,total,345.21,3.241099e-04
D1,total,347.17,3.236594e-04
D1,total,349.13,3.232128e-04
D1,total,351.10,3.227700e-04
D1,total,353.06,3.223308e-04
D1,total,355.02,3.218951e-04
D1,total,356.98,3.214628e-04
D1,total,358.94,3.210338e-04
D1,total,360.90,3.206080e-04
D1,total,362.86,3.201852e-04
D1,total,364.83,3.197654e-04
D1,total,366.79,3.193484e-04
D1,total,368.75,3.189341e-04
D1,total,370.71,3.185225e-04
D1,total,372.67,3.181135e-04
D1,total,374.63,3.177070e-04
D1,total,376.59,3.173029e-04
D1,total,378.56,3.169012e-04
D1,total,380.52,3.165017e-04
D1,total,382.48,3.161044e-04
D1,total,384.44,3.157093e-04
D1,total,386.40,3.153162e-04
D1,total,388.36,3.149251e-04
D1,total,390.32,3.145360e-04
D1,total,392.29,3.141488e-04
D1,total,394.25,3.137634e-04
D1,total,396.21,3.133798e-04
D1,total,398.17,3.129980e-04
D1,total,400.13,3.126178e-04
D1,total,402.09,3.122393e-04
D1,total,404.05,3.118624e-04
D1,total,406.02,3.114871e-04
D1,total,407.98,3.111133e-04
D1,total,409.94,3.107409e-04
D1,total,411.90,3.103701e-04
D1,total,413.86,3.100006e-04
D1,total,415.82,3.096325e-04
D1,total,417.78,3.092658e-04
D1,total,419.75,3.089004e-04
D1,total,421.71,3.085363e-04
D1,total,423.67,3.081734e-04
D1,total,425.63,3.078118e-04
D1,total,427.59,3.074513e-04
D1,total,429.55,3.070921e-04
D1,total,431.51,3.067340e-04
D1,total,433.47,3.063770e-04
D1,total,435.44,3.060212e-04
D1,total,437.40,3.056664e-04
D1,total,439.36,3.053127e-04
D1,total,441.32,3.049600e-04
D1,total,443.28,3.046083e-04
D1,total,445.24,3.042577e-04
D1,total,447.20,3.039080e-04
D1,total,449.17,3.035593e-04
D1,total,451.13,3.032116e-04
D1,total,453.09,3.028648e-04
D1,total,455.05,3.025189e-04
D1,total,457.01,3.021739e-04
D1,total,458.97,3.018298e-04
D1,total,460.93,3.014865e-04
D1,total,462.90,3.011441e-04
D1,total,464.86,3.008026e-04
D1,total,466.82,3.004619e-04
D1,total,468.78,3.001220e-04
D1,total,470.74,2.997829e-04
D1,total,472.70,2.994447e-04
D1,total,474.66,2.991072e-04
D1,total,476.63,2.987704e-04
D1,total,478.59,2.984345e-04
D1,total,480.55,2.980992e-04
D1,total,482.51,2.977648e-04
D1,total,484.47,2.974310e-04
D1,total,486.43,2.970980e-04
D1,total,488.39,2.967657e-04
D1,total,490.36,2.964341e-04
D1,total,492.32,2.961032e-04
D1,total,494.28,2.957729e-04
D1,total,496.24,2.954434e-04
D1,total,498.20,2.951145e-04
D1,total,500.16,2.947863e-04
D1,total,502.12,2.944587e-04
D1,total,504.09,2.941318e-04
D1,total,506.05,2.938055e-04
D1,total,508.01,2.934798e-04
D1,total,509.97,2.931548e-04
D1,total,511.93,2.928304e-04
D1,total,513.89,2.925066e-04
D1,total,515.85,2.921834e-04
D1,total,517.82,2.918608e-04
D1,total,519.78,2.915388e-04
D1,total,521.74,2.912174e-04
D1,total,523.70,2.908966e-04
D1,total,525.66,2.905763e-04
D1,total,527.62,2.902566e-04
D1,total,529.58,2.899375e-04
D1,total,531.55,2.896190e-04
D1,total,533.51,2.893010e-04
D1,total,535.47,2.889835e-04
D1,total,537.43,2.886666e-04
D1,total,539.39,2.883503e-04
D1,total,541.35,2.880344e-04
D1,total,543.31,2.877191e-04
D1,total,545.28,2.874044e-04
D1,total,547.24,2.870901e-04
D1,total,549.20,2.867764e-04
D1,total,551.16,2.864632e-04
D1,total,553.12,2.861505e-04
D1,total,555.08,2.858383e-04
D1,total,557.04,2.855266e-04
D1,total,559.01,2.852154e-04
D1,total,560.97,2.849047e-04
D1,total,562.93,2.845945e-04
D1,total,564.89,2.842848e-04
D1,total,566.85,2.839756e-04
D1,total,568.81,2.836668e-04
D1,total,570.77,2.833586e-04
D1,total,572.74,2.830508e-04
D1,total,574.70,2.827435e-04
D1,total,576.66,2.824366e-04
D1,total,578.62,2.821302e-04
D1,total,580.58,2.818243e-04
D1,total,582.54,2.815188e-04
D1,total,584.50,2.812138e-04
D1,total,586.47,2.809092e-04
D1,total,588.43,2.806051e-04
D1,total,590.39,2.803015e-04
D1,total,592.35,2.799983e-04
D1,total,594.31,2.796955e-04
D1,total,596.27,2.793932e-04
D1,total,598.23,2.790913e-04
D1,total,600.20,2.787898e-04
D1,total,602.16,2.784888e-04
D1,total,604.12,2.781882e-04
D1,total,606.08,2.778880e-04
D1,total,608.04,2.775883e-04
D1,total,610.00,2.772889e-04
D1,total,611.96,2.769900e-04
D1,total,613.93,2.766915e-04
D1,total,615.89,2.763935e-04
D1,total,617.85,2.760958e-04
D1,total,619.81,2.757986e-04
D1,total,621.77,2.755018e-04
D1,total,623.73,2.752053e-04
D1,total,625.69,2.749093e-04
D1,total,627.66,2.746137e-04
D1,total,629.62,2.743185e-04
D1,total,631.58,2.740237e-04
D1,total,633.54,2.737293e-04
D1,total,635.50,2.734352e-04
D1,total,637.46,2.731416e-04
D1,total,639.42,2.728484e-04
D1,total,641.39,2.725555e-04
D1,total,643.35,2.722631e-04
D1,total,645.31,2.719710e-04
D1,total,647.27,2.716793e-04
D1,total,649.23,2.713880e-04
D1,total,651.19,2.710971e-04
D1,total,653.15,2.708066e-04
D1,total,655.12,2.705164e-04
D1,total,657.08,2.702267e-04
D1,total,659.04,2.699373e-04
D1,total,661.00,2.696482e-04
D1,total,662.96,2.693596e-04
D1,total,664.92,2.690713e-04
D1,total,666.88,2.687834e-04
D1,total,668.85,2.684958e-04
D1,total,670.81,2.682087e-04
D1,total,672.77,2.679219e-04
D1,total,674.73,2.676354e-04
D1,total,676.69,2.673493e-04
D1,total,678.65,2.670636e-04
D1,total,680.61,2.667782e-04
D1,total,682.58,2.664932e-04
D1,total,684.54,2.662086e-04
D1,total,686.50,2.659243e-04
D1,total,688.46,2.656404e-04
D1,total,690.42,2.653568e-04
D1,total,692.38,2.650735e-04
D1,total,694.34,2.647907e-04
D1,total,696.31,2.645081e-04
D1,total,698.27,2.642260e-04
D1,total,700.23,2.639441e-04
D1,total,702.19,2.636626e-04
D1,total,704.15,2.633815e-04
D1,total,706.11,2.631007e-04
D1,total,708.07,2.628203e-04
D1,total,710.04,2.625402e-04
D1,total,712.00,2.622604e-04
D1,total,713.96,2.619810e-04
D1,total,715.92,2.617019e-04
D1,total,717.88,2.614231e-04
D1,total,719.84,2.611447e-04
D1,total,721.80,2.608666e-04
D1,total,723.77,2.605889e-04
D1,total,725.73,2.603115e-04
D1,total,727.69,2.600344e-04
D1,total,729.65,2.597577e-04
D1,total,731.61,2.594813e-04
D1,total,733.57,2.592052e-04
D1,total,735.53,2.589294e-04
D1,total,737.50,2.586540e-04
D1,total,739.46,2.583789e-04
D1,total,741.42,2.581042e-04
D1,total,743.38,2.578297e-04
D1,total,745.34,2.575556e-04
D1,total,747.30,2.572818e-04
D1,total,749.26,2.570083e-04
D1,total,751.23,2.567352e-04
D1,total,753.19,2.564624e-04
D1,total,755.15,2.561899e-04
D1,total,757.11,2.559177e-04
D1,total,759.07,2.556458e-04
D1,total,761.03,2.553743e-04
D1,total,762.99,2.551030e-04
D1,total,764.96,2.548321e-04
D1,total,766.92,2.545615e-04
D1,total,768.88,2.542912e-04
D1,total,770.84,2.540213e-04
D1,total,772.80,2.537516e-04
D1,total,774.76,2.534823e-04
D1,total,776.72,2.532133e-04
D1,total,778.69,2.529445e-04
D1,total,780.65,2.526761e-04
D1,total,782.61,2.524080e-04
D2,wall,0.00,4.260324e-03
D2,wall,1.96,4.061815e-03
D2,wall,3.92,3.873051e-03
D2,wall,5.88,3.693551e-03
D2,wall,7.85,3.522860e-03
D2,wall,9.81,3.360545e-03
D2,wall,11.77,3.206192e-03
D2,wall,13.73,3.059412e-03
D2,wall,15.69,2.919830e-03
D2,wall,17.65,2.787093e-03
D2,wall,19.61,2.660864e-03
D2,wall,21.58,2.540823e-03
D2,wall,23.54,2.426665e-03
D2,wall,25.50,2.318100e-03
D2,wall,27.46,2.214855e-03
D2,wall,29.42,2.116666e-03
D2,wall,31.38,2.023286e-03
D2,wall,33.34,1.934478e-03
D2,wall,35.31,1.850016e-03
D2,wall,37.27,1.769688e-03
D2,wall,39.23,1.693290e-03
D2,wall,41.19,1.620628e-03
D2,wall,43.15,1.551519e-03
D2,wall,45.11,1.485788e-03
D2,wall,47.07,1.423269e-03
D2,wall,49.04,1.363804e-03
D2,wall,51.00,1.307243e-03
D2,wall,52.96,1.253443e-03
D2,wall,54.92,1.202269e-03
D2,wall,56.88,1.153591e-03
D2,wall,58.84,1.107287e-03
D2,wall,60.80,1.063240e-03
D2,wall,62.77,1.021338e-03
D2,wall,64.73,9.814779e-04
D2,wall,66.69,9.435578e-04
D2,wall,68.65,9.074826e-04
D2,wall,70.61,8.731618e-04
D2,wall,72.57,8.405092e-04
D2,wall,74.53,8.094429e-04
D2,wall,76.50,7.798849e-04
D2,wall,78.46,7.517611e-04
D2,wall,80.42,7.250011e-04
D2,wall,82.38,6.995380e-04
D2,wall,84.34,6.753081e-04
D2,wall,86.30,6.522508e-04
D2,wall,88.26,6.303086e-04
D2,wall,90.23,6.094268e-04
D2,wall,92.19,5.895532e-04
D2,wall,94.15,5.706385e-04
D2,wall,96.11,5.526356e-04
D2,wall,98.07,5.354998e-04
D2,wall,100.03,5.191885e-04
D2,wall,101.99,5.036613e-04
D2,wall,103.96,4.888797e-04
D2,wall,105.92,4.748073e-04
D2,wall,107.88,4.614091e-04
D2,wall,109.84,4.486523e-04
D2,wall,111.80,4.365053e-04
D2,wall,113.76,4.249383e-04
D2,wall,115.72,4.139229e-04
D2,wall,117.69,4.034320e-04
D2,wall,119.65,3.934400e-04
D2,wall,121.61,3.839224e-04
D2,wall,123.57,3.748561e-04
D2,wall,125.53,3.662189e-04
D2,wall,127.49,3.579898e-04
D2,wall,129.45,3.501489e-04
D2,wall,131.42,3.426773e-04
D2,wall,133.38,3.355567e-04
D2,wall,135.34,3.287702e-04
D2,wall,137.30,3.223013e-04
D2,wall,139.26,3.161346e-04
D2,wall,141.22,3.102552e-04
D2,wall,143.18,3.046493e-04
D2,wall,145.15,2.993033e-04
D2,wall,147.11,2.942047e-04
D2,wall,149.07,2.893413e-04
D2,wall,151.03,2.847018e-04
D2,wall,152.99,2.802751e-04
D2,wall,154.95,2.760509e-04
D2,wall,156.91,2.720194e-04
D2,wall,158.88,2.681711e-04
D2,wall,160.84,2.644972e-04
D2,wall,162.80,2.609892e-04
D2,wall,164.76,2.576390e-04
D2,wall,166.72,2.544389e-04
D2,wall,168.68,2.513816e-04
D2,wall,170.64,2.484603e-04
D2,wall,172.61,2.456682e-04
D2,wall,174.57,2.429992e-04
D2,wall,176.53,2.404473e-04
D2,wall,178.49,2.380067e-04
D2,wall,180.45,2.356722e-04
D2,wall,182.41,2.334385e-04
D2,wall,184.37,2.313008e-04
D2,wall,186.34,2.292545e-04
D2,wall,188.30,2.272951e-04
D2,wall,190.26,2.254184e-04
D2,wall,192.22,2.236205e-04
D2,wall,194.18,2.218975e-04
D2,wall,196.14,2.202459e-04
D2,wall,198.10,2.186622e-04
D2,wall,200.07,2.171431e-04
D2,wall,202.03,2.156856e-04
D2,wall,203.99,2.142866e-04
D2,wall,205.95,2.129434e-04
D2,wall,207.91,2.116533e-04
D2,wall,209.87,2.104138e-04
D2,wall,211.83,2.092224e-04
D2,wall,213.80,2.080768e-04
D2,wall,215.76,2.069749e-04
D2,wall,217.72,2.059145e-04
D2,wall,219.68,2.048937e-04
D2,wall,221.64,2.039107e-04
D2,wall,223.60,2.029635e-04
D2,wall,225.56,2.020505e-04
D2,wall,227.53,2.011702e-04
D2,wall,229.49,2.003208e-04
D2,wall,231.45,1.995011e-04
D2,wall,233.41,1.987095e-04
D2,wall,235.37,1.979448e-04
D2,wall,237.33,1.972057e-04
D2,wall,239.29,1.964909e-04
D2,wall,241.26,1.957994e-04
D2,wall,243.22,1.951301e-04
D2,wall,245.18,1.944818e-04
D2,wall,247.14,1.938538e-04
D2,wall,249.10,1.932449e-04
D2,wall,251.06,1.926543e-04
D2,wall,253.02,1.920811e-04
D2,wall,254.99,1.915246e-04
D2,wall,256.95,1.909840e-04
D2,wall,258.91,1.904586e-04
D2,wall,260.87,1.899475e-04
D2,wall,262.83,1.894503e-04
D2,wall,264.79,1.889662e-04
D2,wall,266.75,1.884947e-04
D2,wall,268.72,1.880352e-04
D2,wall,270.68,1.875871e-04
D2,wall,272.64,1.871499e-04
D2,wall,274.60,1.867232e-04
D2,wall,276.56,1.863064e-04
D2,wall,278.52,1.858992e-04
D2,wall,280.48,1.855010e-04
D2,wall,282.45,1.851115e-04
D2,wall,284.41,1.847303e-04
D2,wall,286.37,1.843570e-04
D2,wall,288.33,1.839914e-04
D2,wall,290.29,1.836329e-04
D2,wall,292.25,1.832814e-04
D2,wall,294.21,1.829366e-04
D2,wall,296.18,1.825980e-04
D2,wall,298.14,1.822656e-04
D2,wall,300.10,1.819389e-04
D2,wall,302.06,1.816178e-04
D2,wall,304.02,1.813020e-04
D2,wall,305.98,1.809913e-04
D2,wall,307.94,1.806855e-04
D2,wall,309.91,1.803844e-04
D2,wall,311.87,1.800878e-04
D2,wall,313.83,1.797954e-04
D2,wall,315.79,1.795071e-04
D2,wall,317.75,1.792229e-04
D2,wall,319.71,1.789423e-04
D2,wall,321.67,1.786655e-04
D2,wall,323.64,1.783921e-04
D2,wall,325.60,1.781220e-04
D2,wall,327.56,1.778552e-04
D2,wall,329.52,1.775914e-04
D2,wall,331.48,1.773306e-04
D2,wall,333.44,1.770727e-04
D2,wall,335.40,1.768175e-04
D2,wall,337.37,1.765649e-04
D2,wall,339.33,1.763149e-04
D2,wall,341.29,1.760673e-04
D2,wall,343.25,1.758221e-04
D2,wall,345.21,1.755791e-04
D2,wall,347.17,1.753382e-04
D2,wall,349.13,1.750995e-04
D2,wall,351.10,1.748628e-04
D2,wall,353.06,1.746280e-04
D2,wall,355.02,1.743952e-04
D2,wall,356.98,1.741641e-04
D2,wall,358.94,1.739348e-04
D2,wall,360.90,1.737071e-04
D2,wall,362.86,1.734811e-04
D2,wall,364.83,1.732567e-04
D2,wall,366.79,1.730338e-04
D2,wall,368.75,1.728124e-04
D2,wall,370.71,1.725924e-04
D2,wall,372.67,1.723737e-04
D2,wall,374.63,1.721564e-04
D2,wall,376.59,1.719404e-04
D2,wall,378.56,1.717257e-04
D2,wall,380.52,1.715121e-04
D2,wall,382.48,1.712998e-04
D2,wall,384.44,1.710886e-04
D2,wall,386.40,1.708784e-04
D2,wall,388.36,1.706694e-04
D2,wall,390.32,1.704614e-04
D2,wall,392.29,1.702544e-04
D2,wall,394.25,1.700484e-04
D2,wall,396.21,1.698433e-04
D2,wall,398.17,1.696392e-04
D2,wall,400.13,1.694360e-04
D2,wall,402.09,1.692337e-04
D2,wall,404.05,1.690322e-04
D2,wall,406.02,1.688316e-04
D2,wall,407.98,1.686318e-04
D2,wall,409.94,1.684327e-04
D2,wall,411.90,1.682345e-04
D2,wall,413.86,1.680370e-04
D2,wall,415.82,1.678403e-04
D2,wall,417.78,1.676442e-04
D2,wall,419.75,1.674489e-04
D2,wall,421.71,1.672543e-04
D2,wall,423.67,1.670603e-04
D2,wall,425.63,1.668670e-04
D2,wall,427.59,1.666743e-04
D2,wall,429.55,1.664823e-04
D2,wall,431.51,1.662909e-04
D2,wall,433.47,1.661000e-04
D2,wall,435.44,1.659098e-04
D2,wall,437.40,1.657202e-04
D2,wall,439.36,1.655311e-04
D2,wall,441.32,1.653426e-04
D2,wall,443.28,1.651546e-04
D2,wall,445.24,1.649672e-04
D2,wall,447.20,1.647802e-04
D2,wall,449.17,1.645939e-04
D2,wall,451.13,1.644080e-04
D2,wall,453.09,1.642226e-04
D2,wall,455.05,1.640377e-04
D2,wall,457.01,1.638533e-04
D2,wall,458.97,1.636693e-04
D2,wall,460.93,1.634858e-04
D2,wall,462.90,1.633028e-04
D2,wall,464.86,1.631203e-04
D2,wall,466.82,1.629381e-04
D2,wall,468.78,1.627565e-04
D2,wall,470.74,1.625752e-04
D2,wall,472.70,1.623944e-04
D2,wall,474.66,1.622140e-04
D2,wall,476.63,1.620340e-04
D2,wall,478.59,1.618544e-04
D2,wall,480.55,1.616752e-04
D2,wall,482.51,1.614964e-04
D2,wall,484.47,1.613180e-04
D2,wall,486.43,1.611400e-04
D2,wall,488.39,1.609623e-04
D2,wall,490.36,1.607851e-04
D2,wall,492.32,1.606082e-04
D2,wall,494.28,1.604317e-04
D2,wall,496.24,1.602555e-04
D2,wall,498.20,1.600797e-04
D2,wall,500.16,1.599043e-04
D2,wall,502.12,1.597292e-04
D2,wall,504.09,1.595544e-04
D2,wall,506.05,1.593800e-04
D2,wall,508.01,1.592059e-04
D2,wall,509.97,1.590322e-04
D2,wall,511.93,1.588588e-04
D2,wall,513.89,1.586857e-04
D2,wall,515.85,1.585129e-04
D2,wall,517.82,1.583405e-04
D2,wall,519.78,1.581683e-04
D2,wall,521.74,1.579965e-04
D2,wall,523.70,1.578250e-04
D2,wall,525.66,1.576538e-04
D2,wall,527.62,1.574830e-04
D2,wall,529.58,1.573124e-04
D2,wall,531.55,1.571421e-04
D2,wall,533.51,1.569721e-04
D2,wall,535.47,1.568024e-04
D2,wall,537.43,1.566330e-04
D2,wall,539.39,1.564639e-04
D2,wall,541.35,1.562951e-04
D2,wall,543.31,1.561266e-04
D2,wall,545.28,1.559583e-04
D2,wall,547.24,1.557903e-04
D2,wall,549.20,1.556226e-04
D2,wall,551.16,1.554552e-04
D2,wall,553.12,1.552880e-04
D2,wall,555.08,1.551212e-04
D2,wall,557.04,1.549546e-04
D2,wall,559.01,1.547882e-04
D2,wall,560.97,1.546221e-04
D2,wall,562.93,1.544563e-04
D2,wall,564.89,1.542908e-04
D2,wall,566.85,1.541255e-04
D2,wall,568.81,1.539604e-04
D2,wall,570.77,1.537956e-04
D2,wall,572.74,1.536311e-04
D2,wall,574.70,1.534668e-04
D2,wall,576.66,1.533028e-04
D2,wall,578.62,1.531390e-04
D2,wall,580.58,1.529755e-04
D2,wall,582.54,1.528122e-04
D2,wall,584.50,1.526492e-04
D2,wall,586.47,1.524864e-04
D2,wall,588.43,1.523238e-04
D2,wall,590.39,1.521615e-04
D2,wall,592.35,1.519994e-04
D2,wall,594.31,1.518375e-04
D2,wall,596.27,1.516759e-04
D2,wall,598.23,1.515146e-04
D2,wall,600.20,1.513534e-04
D2,wall,602.16,1.511925e-04
D2,wall,604.12,1.510318e-04
D2,wall,606.08,1.508714e-04
D2,wall,608.04,1.507111e-04
D2,wall,610.00,1.505511e-04
D2,wall,611.96,1.503914e-04
D2,wall,613.93,1.502318e-04
D2,wall,615.89,1.500725e-04
D2,wall,617.85,1.499134e-04
D2,wall,619.81,1.497545e-04
D2,wall,621.77,1.495958e-04
D2,wall,623.73,1.494374e-04
D2,wall,625.69,1.492791e-04
D2,wall,627.66,1.491211e-04
D2,wall,629.62,1.489633e-04
D2,wall,631.58,1.488057e-04
D2,wall,633.54,1.486483e-04
D2,wall,635.50,1.484912e-04
D2,wall,637.46,1.483342e-04
D2,wall,639.42,1.481775e-04
D2,wall,641.39,1.480209e-04
D2,wall,643.35,1.478646e-04
D2,wall,645.31,1.477085e-04
D2,wall,647.27,1.475526e-04
D2,wall,649.23,1.473968e-04
D2,wall,651.19,1.472413e-04
D2,wall,653.15,1.470860e-04
D2,wall,655.12,1.469309e-04
D2,wall,657.08,1.467760e-04
D2,wall,659.04,1.466213e-04
D2,wall,661.00,1.464668e-04
D2,wall,662.96,1.463125e-04
D2,wall,664.92,1.461584e-04
D2,wall,666.88,1.460045e-04
D2,wall,668.85,1.458508e-04
D2,wall,670.81,1.456973e-04
D2,wall,672.77,1.455440e-04
D2,wall,674.73,1.453909e-04
D2,wall,676.69,1.452380e-04
D2,wall,678.65,1.450852e-04
D2,wall,680.61,1.449327e-04
D2,wall,682.58,1.447803e-04
D2,wall,684.54,1.446282e-04
D2,wall,686.50,1.444762e-04
D2,wall,688.46,1.443244e-04
D2,wall,690.42,1.441729e-04
D2,wall,692.38,1.440215e-04
D2,wall,694.34,1.438702e-04
D2,wall,696.31,1.437192e-04
D2,wall,698.27,1.435684e-04
D2,wall,700.23,1.434177e-04
D2,wall,702.19,1.432673e-04
D2,wall,704.15,1.431170e-04
D2,wall,706.11,1.429669e-04
D2,wall,708.07,1.428170e-04
D2,wall,710.04,1.426672e-04
D2,wall,712.00,1.425177e-04
D2,wall,713.96,1.423683e-04
D2,wall,715.92,1.422191e-04
D2,wall,717.88,1.420701e-04
D2,wall,719.84,1.419213e-04
D2,wall,721.80,1.417727e-04
D2,wall,723.77,1.416242e-04
D2,wall,725.73,1.414759e-04
D2,wall,727.69,1.413278e-04
