place,pair,abs_log_ratio,L_over_s
PS,D1/d1,0.020369,1.048019
linac,D1/d1,0.162458,1.453643
linac,D2/d2,0.041862,1.101189
testhole,D1/d1,0.091215,0.810559
地上,D2/d2,0.316030,0.483025
管理棟2階,D1/d1,0.059803,1.147633
