[ T-Track ]
    title = Cosmic-ray flux in vacuum (ping)
     mesh =  reg            # mesh type is region-wise
      reg = 100
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   1000000.      # maximum value of e-mesh points
#    edel =  0.4605170      # mesh width of e-mesh points
       ne =     75          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  1.58489E-09  2.51189E-09  3.98107E-09  6.30957E-09
#           1.00000E-08  1.58489E-08  2.51189E-08  3.98107E-08  6.30957E-08
#           1.00000E-07  1.58489E-07  2.51189E-07  3.98107E-07  6.30957E-07
#           1.00000E-06  1.58489E-06  2.51189E-06  3.98107E-06  6.30957E-06
#           1.00000E-05  1.58489E-05  2.51189E-05  3.98107E-05  6.30957E-05
#           1.00000E-04  1.58489E-04  2.51189E-04  3.98107E-04  6.30957E-04
#           1.00000E-03  1.58489E-03  2.51189E-03  3.98107E-03  6.30957E-03
#           1.00000E-02  1.58489E-02  2.51189E-02  3.98107E-02  6.30957E-02
#           1.00000E-01  1.58489E-01  2.51189E-01  3.98107E-01  6.30957E-01
#           1.00000E+00  1.58489E+00  2.51189E+00  3.98107E+00  6.30957E+00
#           1.00000E+01  1.58489E+01  2.51189E+01  3.98107E+01  6.30957E+01
#           1.00000E+02  1.58489E+02  2.51189E+02  3.98107E+02  6.30957E+02
#           1.00000E+03  1.58489E+03  2.51189E+03  3.98107E+03  6.30957E+03
#           1.00000E+04  1.58489E+04  2.51189E+04  3.98107E+04  6.30957E+04
#           1.00000E+05  1.58489E+05  2.51189E+05  3.98107E+05  6.30957E+05
#           1.00000E+06
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ping.out        # file name of output for the above axis
     part =  neutron    photon    ( muon+      muon-    ) 
# kf/name :  2112       22        ( -13        13       ) 
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          82 (  0)           0 (  0)          82 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    100

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l n  y(photon  ),hh0dr n  y(p3-group),hh0ub n  
#  e-lower      e-upper        neutron   r.err      photon    r.err      p3-group  r.err 
   1.0000E-02   1.5849E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-02   2.5119E-02   0.0000E+00  0.0000   7.0661E-04  0.7160   0.0000E+00  0.0000
   2.5119E-02   3.9811E-02   0.0000E+00  0.0000   6.1966E-03  0.2964   0.0000E+00  0.0000
   3.9811E-02   6.3096E-02   1.7470E-05  1.0000   1.6800E-02  0.1722   0.0000E+00  0.0000
   6.3096E-02   1.0000E-01   5.2148E-05  0.5829   1.9094E-02  0.1653   0.0000E+00  0.0000
   1.0000E-01   1.5849E-01   1.5521E-05  1.0000   1.3329E-02  0.1944   0.0000E+00  0.0000
   1.5849E-01   2.5119E-01   6.8121E-05  0.4589   8.8651E-03  0.2526   0.0000E+00  0.0000
   2.5119E-01   3.9811E-01   3.3816E-05  0.7204   1.0636E-02  0.2286   0.0000E+00  0.0000
   3.9811E-01   6.3096E-01   7.2891E-05  0.4290   9.9040E-03  0.2270   0.0000E+00  0.0000
   6.3096E-01   1.0000E+00   1.3124E-04  0.3363   2.5164E-03  0.4632   0.0000E+00  0.0000
   1.0000E+00   1.5849E+00   1.0763E-04  0.3751   3.6744E-03  0.4098   0.0000E+00  0.0000
   1.5849E+00   2.5119E+00   1.4180E-04  0.3043   3.2516E-03  0.3894   0.0000E+00  0.0000
   2.5119E+00   3.9811E+00   1.6899E-04  0.2967   3.5201E-03  0.4095   0.0000E+00  0.0000
   3.9811E+00   6.3096E+00   1.3581E-04  0.3290   4.0125E-03  0.3619   0.0000E+00  0.0000
   6.3096E+00   1.0000E+01   1.0789E-04  0.3775   1.2083E-03  0.7114   0.0000E+00  0.0000
   1.0000E+01   1.5849E+01   4.1717E-05  0.5121   2.4702E-03  0.4603   0.0000E+00  0.0000
   1.5849E+01   2.5119E+01   1.5171E-04  0.3180   1.3845E-03  0.5857   3.1108E-05  1.0000
   2.5119E+01   3.9811E+01   5.0268E-05  0.5155   2.0398E-03  0.4842   2.7155E-05  1.0000
   3.9811E+01   6.3096E+01   2.1871E-04  0.2672   6.0150E-04  1.0000   3.9736E-05  0.8675
   6.3096E+01   1.0000E+02   2.7317E-04  0.2228   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E+02   1.5849E+02   3.7387E-04  0.1994   0.0000E+00  0.0000   1.3714E-04  0.5944
   1.5849E+02   2.5119E+02   3.5021E-04  0.2085   0.0000E+00  0.0000   3.8749E-04  0.3237
   2.5119E+02   3.9811E+02   2.6586E-04  0.2332   0.0000E+00  0.0000   4.6672E-04  0.3150
   3.9811E+02   6.3096E+02   1.0396E-04  0.3765   9.5416E-05  1.0000   1.0466E-03  0.1961
   6.3096E+02   1.0000E+03   1.1480E-05  1.0000   0.0000E+00  0.0000   1.4164E-03  0.1727
   1.0000E+03   1.5849E+03   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5724E-03  0.1670
   1.5849E+03   2.5119E+03   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5989E-03  0.1582
   2.5119E+03   3.9811E+03   0.0000E+00  0.0000   0.0000E+00  0.0000   2.4469E-03  0.1302
   3.9811E+03   6.3096E+03   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3481E-03  0.1330
   6.3096E+03   1.0000E+04   1.4817E-05  1.0000   0.0000E+00  0.0000   1.6932E-03  0.1555
   1.0000E+04   1.5849E+04   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4184E-03  0.1741
   1.5849E+04   2.5119E+04   0.0000E+00  0.0000   0.0000E+00  0.0000   7.1899E-04  0.2507
   2.5119E+04   3.9811E+04   0.0000E+00  0.0000   0.0000E+00  0.0000   4.5344E-04  0.3220
   3.9811E+04   6.3096E+04   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3676E-04  0.5411
   6.3096E+04   1.0000E+05   0.0000E+00  0.0000   0.0000E+00  0.0000   2.1095E-05  1.0000
   1.0000E+05   1.5849E+05   0.0000E+00  0.0000   0.0000E+00  0.0000   5.0946E-05  1.0000
   1.5849E+05   2.5119E+05   0.0000E+00  0.0000   0.0000E+00  0.0000   5.6059E-05  1.0000
   2.5119E+05   3.9811E+05   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E+05   6.3096E+05   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E+05   1.0000E+06   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 3.0643E-03  0.0659   1.1031E-01  0.0658   1.6068E-02  0.0466

'no. =  1,  reg  =    100'
msuc: {\huge Cosmic-ray flux in vacuum (ping)}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
wt: s(0.7)
\vspace{-3}
   vol  &=&   4.1888E+09 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 2.24376731931531098E-03 # Total source weight or Total source weight / maxcas
# resc3  = 2.00000000000000000E+03 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# bitrseed = 0101100011011011110001100101110111100110110100101110100101001100 # bit data of rseed
