場所,データ数,測定時間_s,計数率_s-1,フラックス_s-1_cm-2,標高_m_仮定,備考
管理棟2階,6715,2456,2.74,2.40E-02,30,計数率が異常に大きいため平均自由行程解析では除外推奨
管理棟2階,6402,55021,0.116,1.02E-03,30,長時間測定（解析で使用）
管理棟1階,2628,31774.4,8.27E-02,7.25E-04,30,
筑波山,772,3576,0.216,1.89E-03,877,
プレハブ,2275,14188,0.16,1.41E-03,30,
白根山,1511,2468,0.612,5.37E-03,2160,
屋外,,,,,30,データなし
