領域,効率_epsilon,有効面積_S_cm2,epsilon_times_S,備考
熱中性子,0.33,266.5,87.945,公開表の表記どおり
MeV領域,0.06,874.8,52.488,表のフラックスは R/(εS) と完全一致せず、表内では R/φ≈114 で換算
