場所,データ数,測定時間_s,計数率_s-1,フラックス_s-1_cm-2,標高_m_仮定,備考
管理棟2階,2801,14263,0.196,2.21E-03,30,
管理棟2階,7162,35793,0.20,2.25E-03,30,
管理棟1階,7035,43106,0.163,1.83E-03,30,解析の地上基準（平均自由行程では標高差0 m）
筑波山,803,2889,0.278,3.12E-03,877,
プレハブ,3012,11672,0.258,2.90E-03,30,
白根山,1745,2759,0.632,7.10E-03,2160,公開表で強調されていた値（平均自由行程では標高差2000 m）
屋外,,,,,30,データなし
