地点,d1_NET,d1_相対,d1_相対D1地上,d1_絶対phi,D1_NET,D1_相対,D1_相対D1地上,D1_絶対phi,d2_NET,d2_相対,d2_相対D1地上,d2_絶対phi,D2_NET,D2_相対,D2_相対D1地上,D2_絶対phi,注
地上,,,,,0.433041,1,1,0.00168959,0.0934558,1,1,0.00168967,0.243731,1,0.8054,0.00136086,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
管理棟2階,0.127072,1,1.074,0.00181402,0.533573,1.232,1.232,0.00208183,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
管理棟1階,,,,,0.383008,0.8845,0.8845,0.00149437,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
testhole,0.0851228,0.6699,0.7192,0.00121517,0.252447,0.583,0.583,0.000984967,,,,,0.252447,1.036,0.8342,0.00140953,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
PF,,,,,0.200659,0.4634,0.4634,0.000782905,,,,,0.117435,0.4818,0.3881,0.000655694,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
linac,0.022285,0.1754,0.1883,0.000318129,0.118525,0.2737,0.2737,0.000462446,0.0139279,0.149,0.149,0.000251816,0.0828101,0.3398,0.2737,0.000462368,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
PS,0.0139623,0.1099,0.118,0.000199319,0.0535384,0.1236,0.1236,0.00020889,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
放射線棟BT,,,,,0.0985615,0.2276,0.2276,0.000384555,0.0127003,0.1359,0.1359,0.00022962,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
KEKB,,,,,0.069021,0.1594,0.1594,0.000269298,0.00903311,0.09666,0.09666,0.000163318,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_peak=70.05 cm²; D1 εS_peak=256.3 cm²; d2 εS_peak=55.31 cm²; D2 εS_peak=179.1 cm²; FLUX_WINDOW=peak; D1地上φ=0.00169 n/cm²/s
