地点,CPS,相対_地上1,土_cm,コンクリート_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_m,理論_A0exp_相対,理論_A0exp_CPS,備考
linac,0.01332493,0.021742,0.0,150.0,345.00,150.0,1.5000,0.021742,0.013325,X=345.00
BT,0.01509233,0.024625,220.0,60.0,435.00,189.1,1.8913,0.008008,0.004908,土はロームのみ（220 cm < 3.5 m）
KEKB,0.00860608,0.014042,670.0,80.0,1208.50,525.4,5.2543,0.000001,0.000001,ローム3.5 m + 常総2.0 m + 下総1.2 m + コンクリ80 cm（Book5の117.25は桁誤り）
