地点,CPS,相対_地上1,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_m,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.43304066,1.000000,0.0,0.0,0.0,0.00,0.0,0.0000,1.000000,0.433041,基準（屋外）
PF,0.22349008,0.516095,0.0,105.0,0.0,241.50,105.0,1.0500,0.068565,0.029691,X=241.50
linac,0.06869596,0.158636,0.0,150.0,0.0,345.00,150.0,1.5000,0.021742,0.009415,X=345.00
BT,0.08220067,0.189822,220.0,60.0,0.0,435.00,189.1,1.8913,0.008008,0.003468,土はロームのみ（220 cm < 3.5 m）
KEKB,0.03357390,0.077531,670.0,80.0,0.0,1208.50,525.4,5.2543,0.000001,0.000001,ローム3.5 m + 常総2.0 m + 下総1.2 m + コンクリ80 cm（Book5の117.25は桁誤り）
