元素,A,sigma_mb,lambda_gcm2
H,1.008,45.3,37.1
C,12.011,256.4,78.0
O,15.999,313.4,85.0
Na,22.990,403.9,94.8
Mg,24.305,420.0,96.4
Al,26.982,451.8,99.4
Si,28.085,464.7,100.6
K,39.098,585.8,111.1
Ca,40.078,596.0,112.0
Ti,47.867,674.9,118.1
Fe,55.845,751.8,123.7
Pb,207.200,1882.3,183.3
