地点,コンクリート_cm,土_cm,profile,X_コンクリート,X_土,質量厚さ_X,光学厚さ_tau,等価コンクリート_cm,等価コンクリート_m,密度のみ等価_cm,理論残存,lambda_concrete_cm
地上,0.0,0.0,tsukuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000e+00,39.18
PF,105.0,0.0,tsukuba,241.5,0.0,241.5,2.679971,105.0,1.05,105.0,6.856515e-02,39.18
linac,150.0,0.0,tsukuba,345.0,0.0,345.0,3.82853,150.0,1.5,150.0,2.174156e-02,39.18
BT,60.0,220.0,tsukuba,138.0,297.0,435.0,4.803041,188.2,1.8818,189.1,8.204757e-03,39.18
KEKB,80.0,670.0,tsukuba,184.0,1024.5,1208.5,13.381086,524.3,5.2426,525.4,1.544074e-06,39.18
