深さ_m,X_土,等価コンクリート_cm,等価コンクリート_m,理論残存
0,0.0,0.0,0.0,1.0000e+00
0.5,67.5,29.1,0.291,4.7542e-01
1,135.0,58.3,0.583,2.2603e-01
1.5,202.5,87.4,0.874,1.0746e-01
2,270.0,116.5,1.165,5.1088e-02
2.5,337.5,145.7,1.457,2.4288e-02
3,405.0,174.8,1.748,1.1547e-02
3.5,472.5,203.9,2.039,5.4898e-03
4,540.0,233.1,2.331,2.6100e-03
5,705.0,304.3,3.043,4.2391e-04
6,870.0,375.5,3.755,6.8851e-05
7,1035.0,446.7,4.467,1.1183e-05
8,1200.0,517.9,5.179,1.8163e-06
10,1530.0,660.3,6.603,4.7914e-08
