組み合わせ,領域,標高差_m,phi1,phi2,比,比_誤差,lambda_m,lambda_m_誤差,Lambda_g_cm-2,lambda_ISA_m,備考
管理棟1階→白根山,熱中性子,2000,0.00183,0.0071,3.8797814207650276,0.10375875461665636,1475.1668742984245,29.098446173855734,147.51668742984245,1641.8754054696474,公開φ、昨年主結果。Δh=2000 m近似
管理棟1階→白根山,MeV領域,2000,0.000725,0.00537,7.406896551724138,0.23913276183788273,998.7956857973913,16.10371665385289,99.87956857973913,1111.6695339161859,公開φ、同じ定義
管理棟1階→白根山,熱中性子（計数率）,2000,0.163,0.632,3.8773006134969323,0.10369240926245576,1475.8631510542298,29.125921510422884,147.58631510542298,1642.650368425144,Rをφの代わりに使用
管理棟1階→白根山,MeV領域（計数率）,2000,0.0827,0.612,7.4002418379685615,0.2389179134100022,999.2442313768826,16.118183822570476,99.92442313768827,1112.1687696081135,Rをφの代わりに使用
管理棟1階→筑波山,熱中性子,877,0.00183,0.00312,1.7049180327868851,0.06350622684119951,1643.8088055660699,114.76667982518943,164.38088055660697,1930.6958915301934,参考
管理棟1階→筑波山,MeV領域,877,0.000725,0.00189,2.6068965517241383,0.1067190438465847,915.2955510446682,39.105805630517466,91.52955510446682,1075.0382611128907,参考
管理棟2階長時間→白根山,MeV領域,2000,0.00102,0.00537,5.26470588235294,0.15057560948068993,1204.0755927119285,20.732803248258687,120.40755927119285,1340.1481123552335,地上基準を2階長時間にした参考。リサーチノートの1.28 kmに近い系統
