id,場所,filename,検出器,シリアル,NET_CPS_191_764keV,NET_CPS_191_764keV_err,peak_ROI_net_CPS,peak_ROI_net_CPS_err,epsilon_S_191_764_cm2,phi_191_764_n_cm2_s,phi_191_764_err,備考
D1_20260822_1650__kanri_gain500,D1_20260822_1650_熱中性子管理棟-gain500,D1_20260822_1650_熱中性子管理棟-gain500.mca,D1,1715,4107.01,8.94309,1454.74,7.4301,410.9,9.99517,0.0217646,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260822_1653__kanri_gain750_corse_gain_200_100,D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更,D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更.mca,D1,1715,3796.44,7.9677,-4.47454,0.421299,410.9,9.23933,0.0193908,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260822_1653__kanri_corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750.mca,D1,1715,4008.82,11.3314,9.52149,2.28241,410.9,9.75619,0.0275769,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
d1_20260822_1702__kanri_80cm,d1_20260822_1702_熱中性子管理棟-80cm,d1_20260822_1702_熱中性子管理棟-80cm.mca,d1,2162,827.08,3.72471,513.425,3.19718,112.3,7.36492,0.0331675,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
d1_20260822_1705__kanri_30cm,d1_20260822_1705_熱中性子管理棟-30cm,d1_20260822_1705_熱中性子管理棟-30cm.mca,d1,2162,1628.33,5.19077,1020.33,4.3998,112.3,14.4998,0.0462223,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
D2_20260822_1720__kanri,D2_20260822_1720_熱中性子管理棟,D2_20260822_1720_熱中性子管理棟.mca,D2,1715,284.338,1.86091,246.126,1.52489,306.6,0.927446,0.00606988,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
d2_20260822_1729__kanri,d2_20260822_1729_熱中性子管理棟,d2_20260822_1729_熱中性子管理棟.mca,d2,2162,103.332,0.732571,63.6797,0.642053,132,0.7826,0.00554822,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
d2_20260823_0834_Linac3,d2_20260823_0834_Linac3,d2_20260823_0834_Linac3.mca,d2,2162,0.0220122,0.000656302,0.00682382,0.000452034,132,0.000166712,4.97059e-06,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
D2_20260823_0835_Linac3,D2_20260823_0835_Linac3,D2_20260823_0835_Linac3.mca,D2,1715,0.0850455,0.00153391,0.0408726,0.00100348,306.6,0.000277399,5.00326e-06,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
d1_20260823_1509_Linac3,d1_20260823_1509_Linac3,d1_20260823_1509_Linac3.mca,d1,2162,0.0340544,0.00120931,0.0139109,0.000894702,112.3,0.000303245,1.07686e-05,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
D1_20260823_1510_Linac3,D1_20260823_1510_Linac3,D1_20260823_1510_Linac3.mca,D1,1715,0.113983,0.00267778,0.0586696,0.00176894,410.9,0.000277399,6.51686e-06,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260823_1510_PS,D1_20260823_1510_PS,D1_20260823_1510_PS.mca,D1,1715,0.0550009,0.00118076,0.0254079,0.000695076,410.9,0.000133855,2.87359e-06,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
d1_20260823_1509_PS,d1_20260823_1509_PS,d1_20260823_1509_PS.mca,d1,2162,0.0331677,0.00101153,0.0092723,0.000531626,112.3,0.000295349,9.00741e-06,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
d1_20260823_1509_linac_testhole_error,d1_20260823_1509_linac_testhole_error,d1_20260823_1509_linac_testhole_error.mca,d1,2162,5.40087,0.443949,-0.274909,0.251594,112.3,0.0480932,0.00395324,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
d1_20260823_1509_linac_testhole,d1_20260823_1509_linac_testhole,d1_20260823_1509_linac_testhole.mca,d1,2162,0.40163,0.00695342,0.0476986,0.00306387,112.3,0.0035764,6.19183e-05,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
D1_20260823_1510_linac_testhole,D1_20260823_1510_linac_testhole,D1_20260823_1510_linac_testhole.mca,D1,1715,0.190453,0.00466642,0.124426,0.00304334,410.9,0.000463503,1.13566e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260823_1510_linac_testhole_error,D1_20260823_1510_linac_testhole_error,D1_20260823_1510_linac_testhole_error.mca,D1,1715,0.190748,0.00467567,0.124344,0.00304861,410.9,0.000464219,1.13791e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
