地点,コンクリート_cm,土_cm,等価コンクリート_cm,PHITS_He3_Deposit,PHITS_He3_DepositPeak,PHITS_Deposit_相対_地上1,PHITS_He3_フラックス,PHITS_He3Flux_相対_地上1,理論_A0exp_相対,測定_相対_地上1,測定_CPS,備考
地上,0.0,0.0,0.0,0.0466108,0.0392714,1,2.60769,1,1.000000,1.000000,0.52514597,
PF,105.0,0.0,105.0,9.7369e-07,4.8685e-07,2.08898e-05,0.00500262,0.00191841,0.068565,0.478126,0.25108616,
linac,150.0,0.0,150.0,1.2171e-07,0,2.6112e-06,0.000526201,0.000201788,0.021742,0.123374,0.06478913,
BT,60.0,220.0,188.2,1.5214e-07,0,3.26405e-06,6.441e-05,2.47e-05,0.008205,0.218523,0.11475671,
KEKB,80.0,670.0,521.7,0,0,0,0,0,0.000002,0.076041,0.03993240,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
