検出器,メーカー感度_cps_nv,S_iso_surf4_cm2,ε_mfr,S_proj_2rL_cm2,ε_mfr_proj_参考,f_wall,epsilon_S_total_cm2,epsilon_S_wall_cm2,wall_over_mfr,epsilon_S_peakROI_cm2,peak_over_mfr,備考
d1,123,167.9,0.7328,200.8,0.6125,0.9132,123,112.3,0.9132,70.05,0.5695,"メーカー 123 cps/nv × f_wall=0.913（S_iso: L=39.53 cm, 直径=5.08 cm, ε_mfr=0.733）・パイル30&80cm"
D1,450,458.4,0.9816,537.6,0.8371,0.9132,450,410.9,0.9132,256.3,0.5695,"メーカー 450 cps/nv × f_wall=0.913（S_iso: L=56.00 cm, 直径=9.60 cm, ε_mfr=0.982）；照合 D1@80cm R/φ=264.1（参考・主結果はメーカー）"
d2,123,167.9,0.7328,200.8,0.6125,,,136.4,1.109,27.25,0.2215,PE 付きのためメーカー裸管感度との比は参考
D2,450,458.4,0.9816,537.6,0.8371,,,306.6,0.6814,178.5,0.3968,PE 付きのためメーカー裸管感度との比は参考
