地点,CPS,相対_地上1,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_m,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.05375265,1.000000,0.0,0.0,0.0,0.00,0.0,0.0000,1.000000,0.053753,基準（屋外）
PF,0.02905832,0.540593,0.0,105.0,0.0,241.50,105.0,1.0500,0.068565,0.003686,X=241.50
linac,0.01015584,0.188936,0.0,150.0,0.0,345.00,150.0,1.5000,0.021742,0.001169,X=345.00
Linac3,0.00682382,0.126949,0.0,300.0,0.0,690.00,300.0,3.0000,0.000473,0.000025,ATF 加速管区間（コンクリート 300 cm のみ）
BT,0.01175693,0.218723,220.0,60.0,0.0,435.00,189.1,1.8913,0.008008,0.000430,土はロームのみ（220 cm < 3.5 m）
KEKB,0.00574826,0.106939,670.0,80.0,0.0,1208.50,525.4,5.2543,0.000001,0.000000,ローム3.5 m + 常総2.0 m + 下総1.2 m + コンクリ80 cm（Book5の117.25は桁誤り）
linacIRON,0.04670745,0.868933,100.0,200.0,150.0,1675.00,728.3,7.2826,0.000000,0.000000,土100 cm + コンクリート200 cm + 鉄150 cm（ρ_Fe=7.2）
