検出器,epsilon_S_wall_cm2,epsilon_S_wall_std_cm2,epsilon_S_peakROI_cm2,wall_over_peak_cal,備考
d1,73.96,0.29,50.22,1.473,黒鉛パイル30&80cm・水平・非飽和・窓196–764keV・右側帯背景
D1,134.3,,210.9,0.6366,転送: 管理棟2階 D1/d1 壁窓比=1.815×d1εS_wall
D2,,,,,未較正（400cm・黒鉛なし）
d2,,,,,未較正（400cm・黒鉛なし）
