深さ_m,X_土,等価コンクリート_cm,等価コンクリート_m,理論残存
0,0.0,0.0,0.0,1.0000e+00
0.5,100.2,43.7,0.437,3.2751e-01
1,177.8,77.9,0.779,1.3687e-01
1.5,255.2,112.1,1.121,5.7203e-02
2,332.8,146.3,1.463,2.3906e-02
2.5,410.2,180.5,1.805,9.9908e-03
3,487.8,214.6,2.146,4.1753e-03
3.5,565.2,248.8,2.488,1.7450e-03
4,642.8,283.0,2.83,7.2925e-04
5,797.8,351.4,3.514,1.2737e-04
6,957.2,421.0,4.21,2.1530e-05
7,1122.2,492.2,4.922,3.4970e-06
8,1293.2,566.6,5.666,5.2455e-07
10,1663.2,729.8,7.298,8.1435e-09
