filename,検出器,地点,シリアル,live_s,dead_frac,peak_lo,peak_hi,peak_ch,peak_net_cps,peak_net_cps_err,peak_valid,wall_lo,wall_hi,wall_e_lo_kev,wall_e_hi_kev,wall_net_cps,wall_gross_cps,wall_net_cps_err,wall_valid,wall_bg_mode,ratio_wall_over_peak,peak_warning,wall_warning
D2_20260822_155048_地上.mca,D2,地上,1715,12301.957,0.0011227056271853053,359,411,385,0.2467981313867379,0.005222643470149911,1,98,401,196.0,764.0,-0.08210617763227969,0.41871386804554755,0.008645632545233322,0,sideband_right,-0.33268557249980785,peak=385 のため共通窓幅53chを 359-411 に中心移動,NET<=0（壁効果窓または右側帯背景を確認）
D2_20260822_1720_熱中性子管理棟.mca,D2,熱中性子_その他,1715,150.861,0.023268913275711567,360,412,386,246.12568302388738,1.5248881738108586,1,99,402,196.0,764.0,36.665539801539175,402.20467847886465,2.255899109143924,1,sideband_right,0.14897079959745874,peak=386 のため共通窓幅53chを 360-412 に中心移動,
d1_20260819_1520_管理棟2階.mca,d1,管理棟2階,2162,76826.197,0.0001040161951861851,350,408,389,0.12707210623306875,0.0014082711016250775,1,99,408,196.0,764.0,0.20006630463998282,0.2011423264905329,0.0016223913107780725,1,sideband_right,1.5744313254163906,,
d1_20260822_1702_熱中性子管理棟-80cm.mca,d1,熱中性子_80cm,2162,62.913,0.04341016907918749,350,408,385,513.4254181700655,3.1971753918078845,1,98,408,196.0,764.0,808.2060411467688,846.1049385659562,3.748494494280128,1,sideband_right,1.574144973241393,,
d1_20260822_1705_熱中性子管理棟-30cm.mca,d1,熱中性子_30cm,2162,67.47,0.08908030458497596,350,408,383,1020.3260708463022,4.399800056605961,1,98,408,196.0,764.0,1571.7108838496122,1716.140506891952,5.251310126019673,1,sideband_right,1.540400592279258,,
d2_20260819_1859_放射線棟BT.mca,d2,放射線棟BT,2162,9540.474,8.395104427860733e-05,350,408,384,0.01175692807995354,0.0012034904939139527,1,98,408,196.0,764.0,0.019495886682359808,0.019495886682359808,0.0014295077683756441,1,sideband_right,1.6582466567607725,,
d2_20260820_0807_PF.mca,d2,PF,2162,45746.327,0.00010574594111434354,453,511,503,0.0008962468178046295,0.00027564005767978907,1,129,511,196.0,764.0,0.021859678483039744,0.021859678483039744,0.0006912637292537998,1,none_gross,24.390243902439025,peak=503 のため共通窓幅59chを 453-511 に中心移動; 右側帯を使わず左側帯水平背景; peak=503 が積分窓端に近い（側帯定義を確認）,右側帯が取れず GROSS を NET として使用
d2_20260820_1939_KEKB.mca,d2,KEKB,2162,39037.899,0.00010888232333527981,350,408,391,0.005748260171481053,0.0004221613273696449,1,100,408,196.0,764.0,0.011306960961193121,0.011834653294225696,0.0005627392697498464,1,sideband_right,1.9670231729055256,,
d2_20260821_080725_linac.mca,d2,linac,2162,41897.088,0.01711979615852921,350,408,392,0.01015583708347463,0.0011625704276113464,1,100,408,196.0,764.0,0.09501853684914807,0.20564675043764377,0.002747517631122408,1,sideband_right,9.356051703877794,,
d2_20260821_170219_linacIRON.mca,d2,linac_IRON,2162,30086.826,0.02647913125727064,350,408,399,0.046707453034284134,0.0013528458464596204,1,102,415,196.0,764.0,0.0738219002119621,0.07451766430928938,0.0015811006071855098,1,sideband_right,1.5805165003918207,peak=399 が積分窓端に近い（側帯定義を確認）,
d2_20260822_115232_PF.mca,d2,PF,2162,61368.452,0.025094032664034094,350,408,394,0.029058318679567142,0.0013002092497909484,1,101,410,196.0,764.0,0.19324804434260998,0.3481593441529208,0.002863135510756436,1,sideband_right,6.650351882832632,peak=394 が積分窓端に近い（側帯定義を確認）,
d2_20260822_155046_地上.mca,d2,地上,2162,12104.829,0.017004479209655643,350,408,387,0.053752652488247996,0.0031319880042613144,1,99,408,196.0,764.0,0.14790240600121932,0.2776577843437524,0.005801471975234146,1,sideband_right,2.7515368852459026,,
d2_20260822_1729_熱中性子管理棟.mca,d2,熱中性子_その他,2162,194.301,0.01621241196336254,350,408,381,63.67972029651589,0.6420534114387592,1,97,408,196.0,764.0,102.64383610995311,103.60728972058817,0.7336139477283606,1,sideband_right,1.61187636553688,,
