地点,CPS,相対_地上1,土_cm,コンクリート_cm,X_コンクリート,X_土,質量厚さ_X,光学厚さ_tau,等価コンクリート_cm,等価コンクリート_m,密度のみ等価_cm,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.52514597,1.000000,0.0,0.0,0.00,0.00,0.00,0.000000,0.0,0.0000,0.0,1.000000,0.525146,基準（屋外）
PF,0.25108616,0.478126,0.0,105.0,241.50,0.00,241.50,2.679971,105.0,1.0500,105.0,0.068565,0.036007,X=241.50
linac,0.06478913,0.123374,0.0,150.0,345.00,0.00,345.00,3.828530,150.0,1.5000,150.0,0.021742,0.011417,X=345.00
BT,0.11475671,0.218523,220.0,60.0,138.00,297.00,435.00,4.803041,188.2,1.8818,189.1,0.008205,0.004309,土はロームのみ（220 cm < 3.5 m）・組成λ補正(tsukuba)
KEKB,0.03993240,0.076041,670.0,80.0,184.00,1024.50,1208.50,13.381086,524.3,5.2426,525.4,0.000002,0.000001,ローム3.5 m + 常総2.0 m + 下総1.2 m + コンクリ80 cm（Book5の117.25は桁誤り）・組成λ補正(tsukuba)
