深さ_m,X_土,等価コンクリート_cm,等価コンクリート_m,理論残存
0,0.0,0.0,0.0,1.0000e+00
0.5,67.5,29.1,0.291,4.7542e-01
1,135.0,58.3,0.583,2.2603e-01
1.5,202.5,87.4,0.874,1.0746e-01
2,270.0,116.5,1.165,5.1088e-02
2.5,337.5,145.7,1.457,2.4288e-02
3,405.0,174.8,1.748,1.1547e-02
3.5,472.5,203.9,2.039,5.4898e-03
4,555.0,239.5,2.395,2.2125e-03
5,720.0,310.7,3.107,3.5935e-04
6,895.0,387.1,3.871,5.1120e-05
7,1080.0,468.7,4.687,6.3694e-06
8,1265.0,550.3,5.503,7.9362e-07
10,1635.0,713.5,7.135,1.2321e-08
