地点,コンクリート_cm,土_cm,等価コンクリート_cm,PHITS_He3_Deposit,PHITS_He3_DepositPeak,PHITS_Deposit_相対_地上1,PHITS_He3_フラックス,PHITS_He3Flux_相対_地上1,理論_A0exp_相対,測定_相対_地上1,測定_CPS,備考
地上,0.0,0.0,0.0,0.00477975,0.00286785,1,1.80766,1,1.000000,1.000000,0.52514597,
PF,105.0,0.0,105.0,0.108256,0.104092,22.6489,0.846738,0.468416,0.068565,0.478126,0.25108616,Depositが地上より大きい（熱化でHe-3感度上昇の可能性）
linac,150.0,0.0,150.0,0.0326306,0.0326306,6.82684,0.169874,0.0939747,0.021742,0.123374,0.06478913,Depositが地上より大きい（熱化でHe-3感度上昇の可能性）
BT,60.0,220.0,188.2,0,0,0,0,0,0.008205,0.218523,0.11475671,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
KEKB,80.0,670.0,524.3,0,0,0,0,0,0.000002,0.076041,0.03993240,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
