地点,CPS,相対_地上1,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_m,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.24679813,1.000000,0.0,0.0,0.0,0.00,0.0,0.0000,1.000000,0.246798,基準（屋外）
PF,0.11836663,0.479609,0.0,105.0,0.0,241.50,105.0,1.0500,0.068565,0.016922,X=241.50
linac,0.04437164,0.179789,0.0,150.0,0.0,345.00,150.0,1.5000,0.021742,0.005366,X=345.00
linacIRON,0.18932195,0.767113,100.0,200.0,150.0,1675.00,728.3,7.2826,0.000000,0.000000,土100 cm + コンクリート200 cm + 鉄150 cm（ρ_Fe=7.2）
