id,場所,シリアル,live_s,roi_lo,roi_hi,roi_counts,roi_cps,roi_bg_counts,roi_bg_cps,roi_net_counts,roi_net_cps,roi_net_cps_err
20260818_1552_kanri2f_D1,20260818_1552_管理棟2階_D1,1715,1335.366,314,366,759.0,0.5683834993552329,141.33333333333334,0.10583864897963056,617.6666666666666,0.4625448503756024,0.022469910901765883
20260818_1730_linac_D1,20260818_1730_linac_D1,1715,4208.884,311,362,328.0,0.07793039675125282,91.0,0.021620933245012217,237.0,0.05630946350624061,0.004863400723436122
20260819_1520_kanri2f_d1,20260819_1520_管理棟2階_d1,2162,76826.197,350,408,10734.0,0.13971796625570312,1499.5833333333335,0.01951916653291238,9234.416666666666,0.12019879972279073,0.0014396850894722673
20260819_0832_kanri2f_D1,20260819_0832_管理棟2階_D1,1715,52246.972,314,366,31342.0,0.599881654385636,6404.166666666666,0.12257488657269297,24937.833333333336,0.477306767812943,0.0037185643453315352
20260819_1344_kanri1f_D1,20260819_1344_管理棟1階_D1,1715,17482.328,313,366,7578.0,0.4334662980811251,1620.0,0.09266500434038304,5958.0,0.34080129374074203,0.005485894337348818
20260819_1530_ground_D1,20260819_1530_地上_D1,1715,4748.053,313,365,2285.0,0.4812498933773486,446.0833333333333,0.09395079063635839,1838.9166666666667,0.3872991027409902,0.011006567918895028
20260819_1854_hoshasenBT_D1,20260819_1854_放射線棟BT_D1,1715,9583.863,80,110,876.0,0.09140364381252111,1126.3333333333335,0.11752393928558177,-250.33333333333348,-0.026120295473060655,0.0046690399690945215
20260819_1859_hoshasenBT_d2,20260819_1859_放射線棟BT_d2,2162,9540.474,80,107,103.0,0.01079610929184441,128.8,0.013500377444558835,-25.80000000000001,-0.002704268152714426,0.001595830508477315
20260820_0807_PF_d2,20260820_0807_PF_d2,2162,45746.327,80,126,5947.0,0.12999950793863735,7531.750000000001,0.1646416334146346,-1584.750000000001,-0.03464212547599725,0.0025378653663774976
20260820_0807_PF_D1,20260820_0807_PF_D1,1715,45702.849,220,263,10919.0,0.23891289578030464,2009.3333333333333,0.04396516578940917,8909.666666666666,0.19494772999089544,0.0024878717965084586
20260820_1939_KEKB_D1,20260820_1939_KEKB_D1,,39007.479,80,111,2728.0,0.06993530650878516,3416.0,0.08757294979252568,-688.0,-0.017637643283740536,0.0020094523865298165
20260820_1939_KEKB_d2,20260820_1939_KEKB_d2,,39037.899,80,109,641.0,0.016419941042421365,720.0,0.01844361552346862,-79.0,-0.002023674481047251,0.0009450235395965709
20260821_080728_linac_D2,20260821_080728_linac_D2,,42577.495,80,109,3333.0,0.07828079129596516,4107.5,0.09647115218967203,-774.5,-0.018190360893706875,0.002025913758683918
20260821_080725_linac_d2,20260821_080725_linac_d2,,41897.088,80,134,3262.0,0.07785743963876439,3923.333333333333,0.09364214843125453,-661.333333333333,-0.015784708792490137,0.0020232037492212197
20260821_170217_linacIRON_D2,20260821_170217_linacIRON_D2,1715,30863.476,80,109,3173.0,0.10280760339502913,3910.000000000001,0.1266869616371144,-737.0000000000009,-0.023879358242085272,0.002726865918622816
20260821_170219_linacIRON_d2,20260821_170219_linacIRON_d2,2162,30086.826,80,112,676.0,0.022468305563371822,805.7499999999999,0.026780824271726098,-129.7499999999999,-0.004312518708354277,0.0012794139849051731
20260822_115232_PF_d2,20260822_115232_PF_d2,2162,61368.452,80,172,10590.0,0.17256423544788127,12981.25,0.2115296960725032,-2391.25,-0.03896546062462192,0.0025017628465194915
smalld2_20260822_PF,smalld2_20260822_PF,2162,61368.452,80,172,10590.0,0.17256423544788127,12981.25,0.2115296960725032,-2391.25,-0.03896546062462192,0.0025017628465194915
20260822_115234_PF_D2,20260822_115234_PF_D2,,62847.949,355,414,9456.0,0.1504583705667149,2569.9999999999995,0.04089234479234954,6886.0,0.10956602577436536,0.0017448957723352598
D2_20260822_PF,D2_20260822_PF,,62847.949,355,414,9456.0,0.1504583705667149,2569.9999999999995,0.04089234479234954,6886.0,0.10956602577436536,0.0017448957723352598
smalld2_20260822_ground,smalld2_20260822＿地上,2162,12104.829,350,406,1029.0,0.08500739663484713,456.0,0.03767091629299348,573.0,0.04733648034185365,0.003183497902861361
D2_20260822_ground,D2_20260822_地上,1715,12301.957,357,414,3643.0,0.2961317455425994,826.5,0.06718443252565424,2816.5,0.22894731301694518,0.005434445855419037
D1_20260822_1633__kanri_30cm,D1_20260822＿1633_熱中性子管理棟-30cm,1715,28.09,292,455,314493.0,11195.906016375935,114513.0,4076.6464934140263,199980.0,7119.259522961908,23.317390388843783
D1_20260822_1644__kanri2_80cm,D1_20260822＿1644_熱中性子管理棟2-80cm,1715,50.435,296,415,178280.0,3534.846832556756,59069.99999999999,1171.2104689203925,119210.0,2363.6363636363635,9.659676736006178
D1_20260822_1650__kanri_gain500,D1_20260822＿1650_熱中性子管理棟-gain500,1715,61.569,185,273,200368.0,3254.365021358151,60156.58333333332,977.0596133335497,140211.4166666667,2277.3054080246015,8.290147451396752
D1_20260822_1653__kanri_gain750_corse_gain_200,D1_20260822＿1653_熱中性子管理棟-gain750 corse gainを200から１００に変更,1715,59.851,84,142,192784.0,3221.0656463551154,47347.50000000001,791.0895390219046,145436.5,2429.9761073332106,8.187534741323685
D1_20260822_1653__kanri_corse_gain100_Gain_750,D1_20260822＿1653_熱中性子管理棟-corse gain100 Gain 750,1715,32.866,137,212,105197.0,3200.7850057810506,28259.333333333336,859.8348850889471,76937.66666666666,2340.950120692103,11.115339789798158
d1_20260822_1702__kanri_80cm,d1_20260822＿1702_熱中性子管理棟-80cm,2162,62.913,346,404,36962.0,587.5097356667144,5349.333333333333,85.02747179968104,31612.666666666668,502.48226386703334,3.2695498298117593
d1_20260822_1705__kanri_30cm,d1_20260822＿1705_熱中性子管理棟-30cm,2162,67.47,345,405,80131.0,1187.6537720468357,13109.916666666666,194.30734647497653,67021.08333333333,993.3464255718591,4.525770810656301
D2_20260822_1720__kanri,D2_20260822＿1720_熱中性子管理棟,1715,150.861,351,412,46868.0,310.67008703375956,11067.0,73.35891980034602,35801.0,237.31116723341356,1.5954879315457429
d2_20260822_1729__kanri,d2_20260822＿1729_熱中性子管理棟,2162,194.301,342,404,14461.0,74.42576209077669,1963.5000000000002,10.105454938471754,12497.5,64.32030715230493,0.6595854137607667
