深さ_m,X_土,等価コンクリート_cm,等価コンクリート_m,理論残存
0,0.0,0.0,0.0,1.0000e+00
0.5,67.5,29.1,0.291,4.7542e-01
1,135.0,58.3,0.583,2.2603e-01
1.5,202.5,87.4,0.874,1.0746e-01
2,270.0,116.5,1.165,5.1088e-02
2.5,337.5,145.7,1.457,2.4288e-02
3,405.0,174.8,1.748,1.1547e-02
3.5,472.5,203.9,2.039,5.4898e-03
4,555.0,239.5,2.395,2.2130e-03
5,720.0,310.7,3.107,3.5963e-04
6,895.0,386.1,3.861,5.2547e-05
7,1080.0,465.6,4.656,6.9037e-06
8,1265.0,545.1,5.451,9.0701e-07
10,1635.0,704.2,7.042,1.5656e-08
