地点,d1_NET,d1_相対,d1_相対D1地上,d1_絶対phi,D1_NET,D1_相対,D1_相対D1地上,D1_絶対phi,d2_NET,d2_相対,d2_相対D1地上,d2_絶対phi,D2_NET,D2_相対,D2_相対D1地上,D2_絶対phi,注
地上,,,,,0.541218,1,1,0.00131715,0.109626,1,0.6102,0.000803707,0.286488,1,0.7094,0.000934405,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
管理棟2階,0.201708,1,1.364,0.00179615,0.649742,1.201,1.201,0.00158127,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
管理棟1階,,,,,0.477254,0.8818,0.8818,0.00116149,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
testhole,0.113374,0.5621,0.7665,0.00100956,0.229657,0.4243,0.4243,0.000558913,,,,,0.229657,0.8016,0.5687,0.000749046,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
PF,,,,,0.23504,0.4343,0.4343,0.000572013,,,,,0.145057,0.5063,0.3592,0.000473116,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
linac,0.0247786,0.1228,0.1675,0.000220646,0.0613624,0.1134,0.1134,0.000149337,0.0220122,0.2008,0.1225,0.00016138,0.0381925,0.1333,0.09457,0.000124568,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
PS,0.0164385,0.0815,0.1111,0.00014638,0.0550009,0.1016,0.1016,0.000133855,,,,,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
放射線棟BT,,,,,0.102619,0.1896,0.1896,0.000249742,0.0196007,0.1788,0.1091,0.0001437,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
KEKB,,,,,0.0326119,0.06026,0.06026,7.93671e-05,0.00799223,0.0729,0.04449,5.85941e-05,,,,,d1基準=管理棟2階; D1基準=地上; d2基準=地上; D2基準=地上; d1 εS_wall=112.3 cm²; D1 εS_wall=410.9 cm²; d2 εS_wall=136.4 cm²; D2 εS_wall=306.6 cm²; D1地上φ=0.001317 n/cm²/s
