深さ_m,X_土,等価コンクリート_cm,等価コンクリート_m,理論残存
0,0.0,0.0,0.0,1.0000e+00
0.5,100.2,43.6,0.436,3.2845e-01
1,177.8,77.4,0.774,1.3857e-01
1.5,255.2,111.2,1.112,5.8461e-02
2,332.8,145.1,1.451,2.4664e-02
2.5,410.2,178.9,1.789,1.0406e-02
3,487.8,212.7,2.127,4.3900e-03
3.5,565.2,246.5,2.465,1.8521e-03
4,642.8,280.3,2.803,7.8139e-04
5,797.8,347.9,3.479,1.3908e-04
6,957.2,417.2,4.172,2.3762e-05
7,1122.2,488.4,4.884,3.8614e-06
8,1293.2,562.0,5.62,5.8873e-07
10,1663.2,721.1,7.211,1.0162e-08
