地点,コンクリート_cm,土_cm,等価コンクリート_cm,PHITS_He3_Deposit,PHITS_He3_DepositPeak,PHITS_Deposit_相対_地上1,PHITS_He3_フラックス,PHITS_He3Flux_相対_地上1,理論_A0exp_相対,測定_相対_地上1,測定_CPS,備考
地上,0.0,0.0,0.0,0.074517,0.0639461,1,2.79684,1,1.000000,1.000000,0.52514597,
PF,105.0,0.0,105.0,6.0856e-07,3.6514e-07,8.16672e-06,0.00494267,0.00176724,0.068565,0.478126,0.25108616,
linac,150.0,0.0,150.0,0,0,0,0.000526201,0.000188142,0.021742,0.123374,0.06478913,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
BT,60.0,220.0,188.2,1.5214e-07,0,2.04168e-06,6.441e-05,2.30296e-05,0.008205,0.218523,0.11475671,
KEKB,80.0,670.0,521.7,0,0,0,0,0,0.000002,0.076041,0.03993240,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
