地点,CPS,CPS_統計誤差,相対_地上1,相対_統計誤差,土_cm,コンクリート_cm,鉄_cm,質量厚さ_X,等価コンクリート_cm,等価コンクリート_系統誤差_cm,系統_厚さ寄与_cm,系統_密度寄与_cm,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.24373087,0.00523006,1.000000,0.030347,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,1.000000,0.243731,"基準（屋外）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
testhole,0.16948769,0.00338945,0.695389,0.020397,0.0,57.0,0.0,131.10,57.0,5.58,5.00,2.48,0.233437,0.056896,"linac テストホール（等価コンクリート 57 cm）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
PF,0.11743475,0.00166709,0.481821,0.012397,0.0,105.0,0.0,241.50,105.0,6.96,5.25,4.57,0.068565,0.016711,"X=241.50; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
linac,0.04472707,0.00125024,0.183510,0.006467,0.0,150.0,0.0,345.00,150.0,9.94,7.50,6.52,0.021742,0.005299,"X=345.00; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
Linac3,0.05710142,0.00115045,0.234281,0.006896,0.0,300.0,0.0,690.00,300.0,19.88,15.00,13.04,0.000473,0.000115,"ATF 加速管区間（コンクリート 300 cm のみ）; 系統=√(厚さ²+密度²) δt_c=max(5.0cm,5%t) δt_s=10% δt_fe=max(5.0cm,5%t) δρ_c=0.1 δρ_s=15% δρ_fe=0.3"
