地点,CPS,相対_地上1,土_cm,コンクリート_cm,鉄_cm,X_コンクリート,X_土,X_鉄,質量厚さ_X,光学厚さ_tau,等価コンクリート_cm,等価コンクリート_m,密度のみ等価_cm,理論_A0exp_相対,理論_A0exp_CPS,備考
地上,0.43304066,1.000000,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.000000,0.0,0.0000,0.0,1.000000,0.433041,基準（屋外）
testhole,0.16948769,0.391390,0.0,57.0,0.0,131.10,0.00,0.00,131.10,1.454841,57.0,0.5700,57.0,0.233437,0.101088,linac テストホール（等価コンクリート 57 cm）
PF,0.20065853,0.463371,0.0,105.0,0.0,241.50,0.00,0.00,241.50,2.679971,105.0,1.0500,105.0,0.068565,0.029691,X=241.50
linac,0.06869596,0.158636,0.0,150.0,0.0,345.00,0.00,0.00,345.00,3.828530,150.0,1.5000,150.0,0.021742,0.009415,X=345.00
Linac3,0.08196578,0.189280,0.0,300.0,0.0,690.00,0.00,0.00,690.00,7.657059,300.0,3.0000,300.0,0.000473,0.000205,ATF 加速管区間（コンクリート 300 cm のみ）
BT,0.09856151,0.227603,220.0,60.0,0.0,138.00,297.00,0.00,435.00,4.803041,188.2,1.8818,189.1,0.008205,0.003553,土はロームのみ（220 cm < 3.5 m）・組成λ補正(tsukuba)
PS,0.03608729,0.083335,0.0,480.0,0.0,1104.00,0.00,0.00,1104.00,12.251295,480.0,4.8000,480.0,0.000005,0.000002,PS FEL 測定点（等価コンクリート 4.8 m）
KEKB,0.04720462,0.109007,670.0,80.0,0.0,184.00,1024.50,0.00,1208.50,13.316439,521.7,5.2173,525.4,0.000002,0.000001,ローム3.5 m + 常総2.0 m + 下総1.2 m + コンクリ80 cm（Book5の117.25は桁誤り）・組成λ補正(tsukuba)
