地点,コンクリート_cm,土_cm,等価コンクリート_cm,PHITS_He3_Deposit,PHITS_He3_DepositPeak,PHITS_Deposit_相対_地上1,PHITS_He3_フラックス,PHITS_He3Flux_相対_地上1,理論_A0exp_相対,測定_相対_地上1,測定_CPS,備考
地上,0.0,0.0,0.0,0.132575,0.10749,1,14.5362,1,1.000000,1.000000,0.52514597,
PF,105.0,0.0,105.0,3.1645e-06,1.58224e-06,2.38694e-05,0.0147711,0.00101616,0.068565,0.478126,0.25108616,
linac,150.0,0.0,150.0,8.5198e-07,2.4342e-07,6.42638e-06,0.00196684,0.000135306,0.021742,0.123374,0.06478913,
BT,60.0,220.0,188.2,4.5642e-07,0,3.44272e-06,0.00179022,0.000123156,0.008205,0.218523,0.11475671,
KEKB,80.0,670.0,521.7,0,0,0,0,0,0.000002,0.076041,0.03993240,Deposit統計ゼロ（厚い遮蔽 or ヒストリ不足）
